RadiationLevel,DateTime
50,6/22/2018 0:00
65,6/22/2018 0:02
44,6/22/2018 0:04
95,6/22/2018 0:06
47,6/22/2018 0:08
33,6/22/2018 0:10
69,6/22/2018 0:12
52,6/22/2018 0:14
51,6/22/2018 0:16
54,6/22/2018 0:18
61,6/22/2018 0:20
44,6/22/2018 0:22
37,6/22/2018 0:24
59,6/22/2018 0:26
63,6/22/2018 0:28
68,6/22/2018 0:30
75,6/22/2018 0:32
78,6/22/2018 0:34
61,6/22/2018 0:36
58,6/22/2018 0:38
55,6/22/2018 0:40
71,6/22/2018 0:42
63,6/22/2018 0:44
16,6/22/2018 0:46
74,6/22/2018 0:48
80,6/22/2018 0:50
69,6/22/2018 0:52
70,6/22/2018 0:54
76,6/22/2018 0:56
69,6/22/2018 0:58
70,6/22/2018 1:00
36,6/22/2018 1:02
69,6/22/2018 1:04
74,6/22/2018 1:06
57,6/22/2018 1:08
41,6/22/2018 1:10
12,6/22/2018 1:12
78,6/22/2018 1:14
59,6/22/2018 1:16
57,6/22/2018 1:18
72,6/22/2018 1:20
84,6/22/2018 1:22
84,6/22/2018 1:24
92,6/22/2018 1:26
86,6/22/2018 1:28
41,6/22/2018 1:30
49,6/22/2018 1:32
55,6/22/2018 1:34
75,6/22/2018 1:36
68,6/22/2018 1:38
35,6/22/2018 1:40
84,6/22/2018 1:42
50,6/22/2018 1:44
66,6/22/2018 1:46
69,6/22/2018 1:48
59,6/22/2018 1:50
64,6/22/2018 1:52
45,6/22/2018 1:54
74,6/22/2018 1:56
24,6/22/2018 1:58
73,6/22/2018 2:00
91,6/22/2018 2:02
70,6/22/2018 2:04
35,6/22/2018 2:06
64,6/22/2018 2:08
68,6/22/2018 2:10
43,6/22/2018 2:12
72,6/22/2018 2:14
42,6/22/2018 2:16
82,6/22/2018 2:18
38,6/22/2018 2:20
118,6/22/2018 2:22
68,6/22/2018 2:24
61,6/22/2018 2:26
62,6/22/2018 2:28
62,6/22/2018 2:30
109,6/22/2018 2:32
76,6/22/2018 2:34
103,6/22/2018 2:36
100,6/22/2018 2:38
83,6/22/2018 2:40
69,6/22/2018 2:42
79,6/22/2018 2:44
92,6/22/2018 2:46
78,6/22/2018 2:48
79,6/22/2018 2:50
66,6/22/2018 2:52
74,6/22/2018 2:54
58,6/22/2018 2:56
40,6/22/2018 2:58
66,6/22/2018 3:00
105,6/22/2018 3:02
46,6/22/2018 3:04
42,6/22/2018 3:06
55,6/22/2018 3:08
42,6/22/2018 3:10
56,6/22/2018 3:12
54,6/22/2018 3:14
63,6/22/2018 3:16
87,6/22/2018 3:18
95,6/22/2018 3:20
47,6/22/2018 3:22
56,6/22/2018 3:24
62,6/22/2018 3:26
49,6/22/2018 3:28
68,6/22/2018 3:30
61,6/22/2018 3:32
80,6/22/2018 3:34
85,6/22/2018 3:36
63,6/22/2018 3:38
89,6/22/2018 3:40
112,6/22/2018 3:42
79,6/22/2018 3:44
68,6/22/2018 3:46
93,6/22/2018 3:48
100,6/22/2018 3:50
208,6/22/2018 3:52
256,6/22/2018 3:54
333,6/22/2018 3:56
242,6/22/2018 3:58
244,6/22/2018 4:00
268,6/22/2018 4:02
246,6/22/2018 4:04
289,6/22/2018 4:06
448,6/22/2018 4:08
334,6/22/2018 4:10
148,6/22/2018 4:12
142,6/22/2018 4:14
69,6/22/2018 4:16
121,6/22/2018 4:18
256,6/22/2018 4:20
580,6/22/2018 4:22
1023,6/22/2018 4:24
861,6/22/2018 4:26
874,6/22/2018 4:28
1007,6/22/2018 4:30
556,6/22/2018 4:32
531,6/22/2018 4:34
333,6/22/2018 4:36
315,6/22/2018 4:38
367,6/22/2018 4:40
344,6/22/2018 4:42
317,6/22/2018 4:44
454,6/22/2018 4:46
413,6/22/2018 4:48
500,6/22/2018 4:50
329,6/22/2018 4:52
226,6/22/2018 4:54
220,6/22/2018 4:56
210,6/22/2018 4:58
153,6/22/2018 5:00
101,6/22/2018 5:02
186,6/22/2018 5:04
88,6/22/2018 5:06
96,6/22/2018 5:08
101,6/22/2018 5:10
49,6/22/2018 5:12
51,6/22/2018 5:14
69,6/22/2018 5:16
51,6/22/2018 5:18
63,6/22/2018 5:20
62,6/22/2018 5:22
56,6/22/2018 5:24
67,6/22/2018 5:26
88,6/22/2018 5:28
65,6/22/2018 5:30
67,6/22/2018 5:32
76,6/22/2018 5:34
84,6/22/2018 5:36
65,6/22/2018 5:38
100,6/22/2018 5:40
77,6/22/2018 5:42
65,6/22/2018 5:44
33,6/22/2018 5:46
70,6/22/2018 5:48
90,6/22/2018 5:50
68,6/22/2018 5:52
75,6/22/2018 5:54
58,6/22/2018 5:56
52,6/22/2018 5:58
76,6/22/2018 6:00
90,6/22/2018 6:02
47,6/22/2018 6:04
46,6/22/2018 6:06
65,6/22/2018 6:08
35,6/22/2018 6:10
90,6/22/2018 6:12
56,6/22/2018 6:14
77,6/22/2018 6:16
50,6/22/2018 6:18
53,6/22/2018 6:20
64,6/22/2018 6:22
61,6/22/2018 6:24
58,6/22/2018 6:26
57,6/22/2018 6:28
54,6/22/2018 6:30
33,6/22/2018 6:32
75,6/22/2018 6:34
51,6/22/2018 6:36
68,6/22/2018 6:38
38,6/22/2018 6:40
51,6/22/2018 6:42
70,6/22/2018 6:44
76,6/22/2018 6:46
53,6/22/2018 6:48
46,6/22/2018 6:50
69,6/22/2018 6:52
54,6/22/2018 6:54
61,6/22/2018 6:56
61,6/22/2018 6:58
54,6/22/2018 7:00
78,6/22/2018 7:02
71,6/22/2018 7:04
41,6/22/2018 7:06
74,6/22/2018 7:08
61,6/22/2018 7:10
85,6/22/2018 7:12
83,6/22/2018 7:14
56,6/22/2018 7:16
67,6/22/2018 7:18
100,6/22/2018 7:20
104,6/22/2018 7:22
56,6/22/2018 7:24
57,6/22/2018 7:26
63,6/22/2018 7:28
78,6/22/2018 7:30
72,6/22/2018 7:32
46,6/22/2018 7:34
72,6/22/2018 7:36
58,6/22/2018 7:38
73,6/22/2018 7:40
63,6/22/2018 7:42
72,6/22/2018 7:44
58,6/22/2018 7:46
82,6/22/2018 7:48
87,6/22/2018 7:50
60,6/22/2018 7:52
43,6/22/2018 7:54
93,6/22/2018 7:56
55,6/22/2018 7:58
97,6/22/2018 8:00
63,6/22/2018 8:02
54,6/22/2018 8:04
67,6/22/2018 8:06
91,6/22/2018 8:08
70,6/22/2018 8:10
58,6/22/2018 8:12
48,6/22/2018 8:14
57,6/22/2018 8:16
57,6/22/2018 8:18
84,6/22/2018 8:20
59,6/22/2018 8:22
72,6/22/2018 8:24
45,6/22/2018 8:26
69,6/22/2018 8:28
82,6/22/2018 8:30
80,6/22/2018 8:32
97,6/22/2018 8:34
95,6/22/2018 8:36
81,6/22/2018 8:38
26,6/22/2018 8:40
91,6/22/2018 8:42
53,6/22/2018 8:44
61,6/22/2018 8:46
54,6/22/2018 8:48
96,6/22/2018 8:50
60,6/22/2018 8:52
50,6/22/2018 8:54
57,6/22/2018 8:56
77,6/22/2018 8:58
62,6/22/2018 9:00
50,6/22/2018 9:02
66,6/22/2018 9:04
66,6/22/2018 9:06
61,6/22/2018 9:08
47,6/22/2018 9:10
80,6/22/2018 9:12
70,6/22/2018 9:14
78,6/22/2018 9:16
63,6/22/2018 9:18
46,6/22/2018 9:20
54,6/22/2018 9:22
91,6/22/2018 9:24
95,6/22/2018 9:26
75,6/22/2018 9:28
60,6/22/2018 9:30
92,6/22/2018 9:32
58,6/22/2018 9:34
118,6/22/2018 9:36
74,6/22/2018 9:38
68,6/22/2018 9:40
91,6/22/2018 9:42
113,6/22/2018 9:44
107,6/22/2018 9:46
84,6/22/2018 9:48
82,6/22/2018 9:50
33,6/22/2018 9:52
64,6/22/2018 9:54
99,6/22/2018 9:56
78,6/22/2018 9:58
109,6/22/2018 10:00
41,6/22/2018 10:02
80,6/22/2018 10:04
108,6/22/2018 10:06
71,6/22/2018 10:08
83,6/22/2018 10:10
61,6/22/2018 10:12
67,6/22/2018 10:14
71,6/22/2018 10:16
49,6/22/2018 10:18
71,6/22/2018 10:20
111,6/22/2018 10:22
68,6/22/2018 10:24
59,6/22/2018 10:26
67,6/22/2018 10:28
40,6/22/2018 10:30
69,6/22/2018 10:32
35,6/22/2018 10:34
100,6/22/2018 10:36
65,6/22/2018 10:38
64,6/22/2018 10:40
79,6/22/2018 10:42
41,6/22/2018 10:44
61,6/22/2018 10:46
51,6/22/2018 10:48
92,6/22/2018 10:50
48,6/22/2018 10:52
23,6/22/2018 10:54
87,6/22/2018 10:56
74,6/22/2018 10:58
43,6/22/2018 11:00
60,6/22/2018 11:02
47,6/22/2018 11:04
86,6/22/2018 11:06
42,6/22/2018 11:08
