RadiationLevel,DateTime
46,6/22/2018 0:00
64,6/22/2018 0:02
51,6/22/2018 0:04
70,6/22/2018 0:06
74,6/22/2018 0:08
69,6/22/2018 0:10
55,6/22/2018 0:12
64,6/22/2018 0:14
71,6/22/2018 0:16
47,6/22/2018 0:18
55,6/22/2018 0:20
74,6/22/2018 0:22
77,6/22/2018 0:24
57,6/22/2018 0:26
57,6/22/2018 0:28
63,6/22/2018 0:30
74,6/22/2018 0:32
54,6/22/2018 0:34
56,6/22/2018 0:36
56,6/22/2018 0:38
62,6/22/2018 0:40
55,6/22/2018 0:42
57,6/22/2018 0:44
62,6/22/2018 0:46
60,6/22/2018 0:48
64,6/22/2018 0:50
54,6/22/2018 0:52
69,6/22/2018 0:54
65,6/22/2018 0:56
60,6/22/2018 0:58
50,6/22/2018 1:00
60,6/22/2018 1:02
77,6/22/2018 1:04
63,6/22/2018 1:06
48,6/22/2018 1:08
47,6/22/2018 1:10
68,6/22/2018 1:12
63,6/22/2018 1:14
35,6/22/2018 1:16
64,6/22/2018 1:18
51,6/22/2018 1:20
51,6/22/2018 1:22
48,6/22/2018 1:24
71,6/22/2018 1:26
54,6/22/2018 1:28
63,6/22/2018 1:30
74,6/22/2018 1:32
60,6/22/2018 1:34
44,6/22/2018 1:36
51,6/22/2018 1:38
60,6/22/2018 1:40
72,6/22/2018 1:42
44,6/22/2018 1:44
69,6/22/2018 1:46
58,6/22/2018 1:48
58,6/22/2018 1:50
75,6/22/2018 1:52
63,6/22/2018 1:54
59,6/22/2018 1:56
75,6/22/2018 1:58
74,6/22/2018 2:00
52,6/22/2018 2:02
68,6/22/2018 2:04
72,6/22/2018 2:06
63,6/22/2018 2:08
52,6/22/2018 2:10
77,6/22/2018 2:12
44,6/22/2018 2:14
59,6/22/2018 2:16
84,6/22/2018 2:18
64,6/22/2018 2:20
57,6/22/2018 2:22
47,6/22/2018 2:24
58,6/22/2018 2:26
78,6/22/2018 2:28
67,6/22/2018 2:30
62,6/22/2018 2:32
54,6/22/2018 2:34
61,6/22/2018 2:36
77,6/22/2018 2:38
38,6/22/2018 2:40
53,6/22/2018 2:42
72,6/22/2018 2:44
62,6/22/2018 2:46
41,6/22/2018 2:48
81,6/22/2018 2:50
57,6/22/2018 2:52
66,6/22/2018 2:54
64,6/22/2018 2:56
73,6/22/2018 2:58
64,6/22/2018 3:00
72,6/22/2018 3:02
52,6/22/2018 3:04
71,6/22/2018 3:06
60,6/22/2018 3:08
56,6/22/2018 3:10
71,6/22/2018 3:12
75,6/22/2018 3:14
64,6/22/2018 3:16
59,6/22/2018 3:18
79,6/22/2018 3:20
62,6/22/2018 3:22
66,6/22/2018 3:24
50,6/22/2018 3:26
64,6/22/2018 3:28
76,6/22/2018 3:30
76,6/22/2018 3:32
43,6/22/2018 3:34
66,6/22/2018 3:36
50,6/22/2018 3:38
50,6/22/2018 3:40
55,6/22/2018 3:42
62,6/22/2018 3:44
56,6/22/2018 3:46
54,6/22/2018 3:48
54,6/22/2018 3:50
62,6/22/2018 3:52
60,6/22/2018 3:54
57,6/22/2018 3:56
59,6/22/2018 3:58
65,6/22/2018 4:00
58,6/22/2018 4:02
54,6/22/2018 4:04
50,6/22/2018 4:06
46,6/22/2018 4:08
60,6/22/2018 4:10
80,6/22/2018 4:12
59,6/22/2018 4:14
78,6/22/2018 4:16
59,6/22/2018 4:18
56,6/22/2018 4:20
59,6/22/2018 4:22
71,6/22/2018 4:24
67,6/22/2018 4:26
60,6/22/2018 4:28
54,6/22/2018 4:30
59,6/22/2018 4:32
52,6/22/2018 4:34
65,6/22/2018 4:36
80,6/22/2018 4:38
63,6/22/2018 4:40
70,6/22/2018 4:42
69,6/22/2018 4:44
58,6/22/2018 4:46
73,6/22/2018 4:48
61,6/22/2018 4:50
87,6/22/2018 4:52
86,6/22/2018 4:54
81,6/22/2018 4:56
77,6/22/2018 4:58
79,6/22/2018 5:00
105,6/22/2018 5:02
69,6/22/2018 5:04
93,6/22/2018 5:06
75,6/22/2018 5:08
71,6/22/2018 5:10
81,6/22/2018 5:12
70,6/22/2018 5:14
71,6/22/2018 5:16
62,6/22/2018 5:18
76,6/22/2018 5:20
77,6/22/2018 5:22
60,6/22/2018 5:24
59,6/22/2018 5:26
51,6/22/2018 5:28
72,6/22/2018 5:30
57,6/22/2018 5:32
83,6/22/2018 5:34
60,6/22/2018 5:36
62,6/22/2018 5:38
48,6/22/2018 5:40
76,6/22/2018 5:42
70,6/22/2018 5:44
75,6/22/2018 5:46
64,6/22/2018 5:48
68,6/22/2018 5:50
74,6/22/2018 5:52
76,6/22/2018 5:54
56,6/22/2018 5:56
62,6/22/2018 5:58
74,6/22/2018 6:00
68,6/22/2018 6:02
79,6/22/2018 6:04
49,6/22/2018 6:06
45,6/22/2018 6:08
60,6/22/2018 6:10
64,6/22/2018 6:12
60,6/22/2018 6:14
54,6/22/2018 6:16
73,6/22/2018 6:18
63,6/22/2018 6:20
67,6/22/2018 6:22
81,6/22/2018 6:24
64,6/22/2018 6:26
66,6/22/2018 6:28
52,6/22/2018 6:30
58,6/22/2018 6:32
73,6/22/2018 6:34
58,6/22/2018 6:36
60,6/22/2018 6:38
45,6/22/2018 6:40
51,6/22/2018 6:42
78,6/22/2018 6:44
56,6/22/2018 6:46
84,6/22/2018 6:48
58,6/22/2018 6:50
56,6/22/2018 6:52
60,6/22/2018 6:54
82,6/22/2018 6:56
59,6/22/2018 6:58
66,6/22/2018 7:00
72,6/22/2018 7:02
65,6/22/2018 7:04
63,6/22/2018 7:06
85,6/22/2018 7:08
60,6/22/2018 7:10
57,6/22/2018 7:12
59,6/22/2018 7:14
69,6/22/2018 7:16
49,6/22/2018 7:18
33,6/22/2018 7:20
83,6/22/2018 7:22
63,6/22/2018 7:24
49,6/22/2018 7:26
47,6/22/2018 7:28
48,6/22/2018 7:30
85,6/22/2018 7:32
49,6/22/2018 7:34
54,6/22/2018 7:36
48,6/22/2018 7:38
54,6/22/2018 7:40
72,6/22/2018 7:42
54,6/22/2018 7:44
77,6/22/2018 7:46
83,6/22/2018 7:48
71,6/22/2018 7:50
74,6/22/2018 7:52
89,6/22/2018 7:54
