RadiationLevel,DateTime
77,6/22/2018 0:00
62,6/22/2018 0:02
55,6/22/2018 0:04
48,6/22/2018 0:06
55,6/22/2018 0:08
54,6/22/2018 0:10
68,6/22/2018 0:12
45,6/22/2018 0:14
56,6/22/2018 0:16
51,6/22/2018 0:18
68,6/22/2018 0:20
67,6/22/2018 0:22
78,6/22/2018 0:24
67,6/22/2018 0:26
47,6/22/2018 0:28
85,6/22/2018 0:30
54,6/22/2018 0:32
56,6/22/2018 0:34
53,6/22/2018 0:36
65,6/22/2018 0:38
63,6/22/2018 0:40
71,6/22/2018 0:42
71,6/22/2018 0:44
41,6/22/2018 0:46
67,6/22/2018 0:48
49,6/22/2018 0:50
70,6/22/2018 0:52
59,6/22/2018 0:54
78,6/22/2018 0:56
64,6/22/2018 0:58
70,6/22/2018 1:00
60,6/22/2018 1:02
67,6/22/2018 1:04
86,6/22/2018 1:06
86,6/22/2018 1:08
53,6/22/2018 1:10
69,6/22/2018 1:12
56,6/22/2018 1:14
61,6/22/2018 1:16
88,6/22/2018 1:18
51,6/22/2018 1:20
65,6/22/2018 1:22
49,6/22/2018 1:24
75,6/22/2018 1:26
45,6/22/2018 1:28
56,6/22/2018 1:30
62,6/22/2018 1:32
67,6/22/2018 1:34
51,6/22/2018 1:36
64,6/22/2018 1:38
52,6/22/2018 1:40
51,6/22/2018 1:42
63,6/22/2018 1:44
66,6/22/2018 1:46
52,6/22/2018 1:48
84,6/22/2018 1:50
59,6/22/2018 1:52
60,6/22/2018 1:54
47,6/22/2018 1:56
89,6/22/2018 1:58
48,6/22/2018 2:00
53,6/22/2018 2:02
66,6/22/2018 2:04
61,6/22/2018 2:06
67,6/22/2018 2:08
67,6/22/2018 2:08
72,6/22/2018 2:10
55,6/22/2018 2:12
70,6/22/2018 2:14
56,6/22/2018 2:16
49,6/22/2018 2:18
60,6/22/2018 2:20
48,6/22/2018 2:22
76,6/22/2018 2:24
74,6/22/2018 2:26
68,6/22/2018 2:28
55,6/22/2018 2:30
70,6/22/2018 2:32
60,6/22/2018 2:34
39,6/22/2018 2:36
66,6/22/2018 2:38
67,6/22/2018 2:40
63,6/22/2018 2:42
66,6/22/2018 2:44
70,6/22/2018 2:46
59,6/22/2018 2:48
62,6/22/2018 2:50
60,6/22/2018 2:52
72,6/22/2018 2:54
76,6/22/2018 2:56
75,6/22/2018 2:58
58,6/22/2018 3:00
56,6/22/2018 3:02
79,6/22/2018 3:04
44,6/22/2018 3:06
52,6/22/2018 3:08
47,6/22/2018 3:10
63,6/22/2018 3:12
52,6/22/2018 3:14
64,6/22/2018 3:16
49,6/22/2018 3:18
72,6/22/2018 3:20
71,6/22/2018 3:22
61,6/22/2018 3:24
68,6/22/2018 3:26
92,6/22/2018 3:28
54,6/22/2018 3:30
61,6/22/2018 3:32
74,6/22/2018 3:34
66,6/22/2018 3:36
63,6/22/2018 3:38
62,6/22/2018 3:40
54,6/22/2018 3:42
56,6/22/2018 3:44
83,6/22/2018 3:46
64,6/22/2018 3:48
61,6/22/2018 3:50
74,6/22/2018 3:52
66,6/22/2018 3:54
57,6/22/2018 3:56
58,6/22/2018 3:58
50,6/22/2018 4:00
62,6/22/2018 4:02
61,6/22/2018 4:04
58,6/22/2018 4:06
79,6/22/2018 4:08
62,6/22/2018 4:10
