RadiationLevel,DateTime
82,6/22/2018 0:00
52,6/22/2018 0:02
98,6/22/2018 0:04
66,6/22/2018 0:06
69,6/22/2018 0:08
75,6/22/2018 0:10
81,6/22/2018 0:12
102,6/22/2018 0:14
60,6/22/2018 0:16
87,6/22/2018 0:18
60,6/22/2018 0:20
85,6/22/2018 0:22
86,6/22/2018 0:24
84,6/22/2018 0:26
81,6/22/2018 0:28
93,6/22/2018 0:30
109,6/22/2018 0:32
87,6/22/2018 0:34
95,6/22/2018 0:36
48,6/22/2018 0:38
97,6/22/2018 0:40
89,6/22/2018 0:42
114,6/22/2018 0:44
106,6/22/2018 0:46
92,6/22/2018 0:48
103,6/22/2018 0:50
106,6/22/2018 0:52
82,6/22/2018 0:54
102,6/22/2018 0:56
75,6/22/2018 0:58
45,6/22/2018 1:00
107,6/22/2018 1:02
71,6/22/2018 1:04
67,6/22/2018 1:06
81,6/22/2018 1:08
132,6/22/2018 1:10
103,6/22/2018 1:12
121,6/22/2018 1:14
44,6/22/2018 1:16
93,6/22/2018 1:18
94,6/22/2018 1:20
73,6/22/2018 1:22
100,6/22/2018 1:24
82,6/22/2018 1:26
77,6/22/2018 1:28
81,6/22/2018 1:30
70,6/22/2018 1:32
94,6/22/2018 1:34
61,6/22/2018 1:36
69,6/22/2018 1:38
78,6/22/2018 1:40
70,6/22/2018 1:42
115,6/22/2018 1:44
92,6/22/2018 1:46
99,6/22/2018 1:48
59,6/22/2018 1:50
73,6/22/2018 1:52
64,6/22/2018 1:54
51,6/22/2018 1:56
61,6/22/2018 1:58
97,6/22/2018 2:00
47,6/22/2018 2:02
73,6/22/2018 2:04
84,6/22/2018 2:06
98,6/22/2018 2:08
88,6/22/2018 2:10
94,6/22/2018 2:12
71,6/22/2018 2:14
58,6/22/2018 2:16
89,6/22/2018 2:18
96,6/22/2018 2:20
115,6/22/2018 2:22
49,6/22/2018 2:24
91,6/22/2018 2:26
74,6/22/2018 2:28
132,6/22/2018 2:30
81,6/22/2018 2:32
93,6/22/2018 2:34
108,6/22/2018 2:36
102,6/22/2018 2:38
96,6/22/2018 2:40
71,6/22/2018 2:42
111,6/22/2018 2:44
115,6/22/2018 2:46
103,6/22/2018 2:48
82,6/22/2018 2:50
85,6/22/2018 2:52
75,6/22/2018 2:54
87,6/22/2018 2:56
69,6/22/2018 2:58
68,6/22/2018 3:00
93,6/22/2018 3:02
87,6/22/2018 3:04
79,6/22/2018 3:06
72,6/22/2018 3:08
83,6/22/2018 3:10
67,6/22/2018 3:12
75,6/22/2018 3:14
113,6/22/2018 3:16
82,6/22/2018 3:18
92,6/22/2018 3:20
82,6/22/2018 3:22
99,6/22/2018 3:24
76,6/22/2018 3:26
62,6/22/2018 3:28
57,6/22/2018 3:30
90,6/22/2018 3:32
67,6/22/2018 3:34
101,6/22/2018 3:36
74,6/22/2018 3:38
104,6/22/2018 3:40
81,6/22/2018 3:42
87,6/22/2018 3:44
115,6/22/2018 3:46
85,6/22/2018 3:48
118,6/22/2018 3:50
91,6/22/2018 3:52
95,6/22/2018 3:54
73,6/22/2018 3:56
85,6/22/2018 3:58
100,6/22/2018 4:00
98,6/22/2018 4:02
125,6/22/2018 4:04
135,6/22/2018 4:06
115,6/22/2018 4:08
96,6/22/2018 4:10
74,6/22/2018 4:12
107,6/22/2018 4:14
64,6/22/2018 4:16
100,6/22/2018 4:18
88,6/22/2018 4:20
73,6/22/2018 4:22
74,6/22/2018 4:24
115,6/22/2018 4:26
83,6/22/2018 4:28
87,6/22/2018 4:30
107,6/22/2018 4:32
118,6/22/2018 4:34
88,6/22/2018 4:36
103,6/22/2018 4:38
76,6/22/2018 4:40
79,6/22/2018 4:42
106,6/22/2018 4:44
75,6/22/2018 4:46
111,6/22/2018 4:48
91,6/22/2018 4:50
102,6/22/2018 4:52
104,6/22/2018 4:54
94,6/22/2018 4:56
91,6/22/2018 4:58
116,6/22/2018 5:00
83,6/22/2018 5:02
115,6/22/2018 5:04
113,6/22/2018 5:06
152,6/22/2018 5:08
81,6/22/2018 5:10
103,6/22/2018 5:12
124,6/22/2018 5:14
68,6/22/2018 5:16
90,6/22/2018 5:18
133,6/22/2018 5:20
72,6/22/2018 5:22
109,6/22/2018 5:24
70,6/22/2018 5:26
97,6/22/2018 5:28
90,6/22/2018 5:30
112,6/22/2018 5:32
103,6/22/2018 5:34
114,6/22/2018 5:36
56,6/22/2018 5:38
84,6/22/2018 5:40
116,6/22/2018 5:42
63,6/22/2018 5:44
69,6/22/2018 5:46
106,6/22/2018 5:48
51,6/22/2018 5:50
64,6/22/2018 5:52
124,6/22/2018 5:54
91,6/22/2018 5:56
100,6/22/2018 5:58
96,6/22/2018 6:00
102,6/22/2018 6:02
94,6/22/2018 6:04
70,6/22/2018 6:06
100,6/22/2018 6:08
92,6/22/2018 6:10
72,6/22/2018 6:12
117,6/22/2018 6:14
100,6/22/2018 6:16
45,6/22/2018 6:18
73,6/22/2018 6:20
95,6/22/2018 6:22
53,6/22/2018 6:24
91,6/22/2018 6:26
75,6/22/2018 6:28
57,6/22/2018 6:30
90,6/22/2018 6:32
90,6/22/2018 6:34
87,6/22/2018 6:36
101,6/22/2018 6:38
97,6/22/2018 6:40
97,6/22/2018 6:42
87,6/22/2018 6:44
74,6/22/2018 6:46
96,6/22/2018 6:48
87,6/22/2018 6:50
102,6/22/2018 6:52
98,6/22/2018 6:54
85,6/22/2018 6:56
115,6/22/2018 6:58
81,6/22/2018 7:00
109,6/22/2018 7:02
75,6/22/2018 7:04
93,6/22/2018 7:06
94,6/22/2018 7:08
68,6/22/2018 7:10
91,6/22/2018 7:12
72,6/22/2018 7:14
72,6/22/2018 7:16
70,6/22/2018 7:18
104,6/22/2018 7:20
88,6/22/2018 7:22
72,6/22/2018 7:24
70,6/22/2018 7:26
100,6/22/2018 7:28
60,6/22/2018 7:30
71,6/22/2018 7:32
72,6/22/2018 7:34
47,6/22/2018 7:36
75,6/22/2018 7:38
81,6/22/2018 7:40
63,6/22/2018 7:42
68,6/22/2018 7:44
90,6/22/2018 7:46
95,6/22/2018 7:48
72,6/22/2018 7:50
41,6/22/2018 7:52
80,6/22/2018 7:54
93,6/22/2018 7:56
74,6/22/2018 7:58
61,6/22/2018 8:00
69,6/22/2018 8:02
113,6/22/2018 8:04
135,6/22/2018 8:06
113,6/22/2018 8:08
88,6/22/2018 8:10
52,6/22/2018 8:12
101,6/22/2018 8:14
83,6/22/2018 8:16
76,6/22/2018 8:18
67,6/22/2018 8:20
35,6/22/2018 8:22
94,6/22/2018 8:24
121,6/22/2018 8:26
79,6/22/2018 8:28
104,6/22/2018 8:30
65,6/22/2018 8:32
108,6/22/2018 8:34
89,6/22/2018 8:36
144,6/22/2018 8:38
90,6/22/2018 8:40
99,6/22/2018 8:42
98,6/22/2018 8:44
49,6/22/2018 8:46
89,6/22/2018 8:48
97,6/22/2018 8:50
75,6/22/2018 8:52
84,6/22/2018 8:54
90,6/22/2018 8:56
74,6/22/2018 8:58
89,6/22/2018 9:00
97,6/22/2018 9:02
55,6/22/2018 9:04
72,6/22/2018 9:06
62,6/22/2018 9:08
92,6/22/2018 9:10
87,6/22/2018 9:12
98,6/22/2018 9:14
97,6/22/2018 9:16
73,6/22/2018 9:18
68,6/22/2018 9:20
100,6/22/2018 9:22
87,6/22/2018 9:24
85,6/22/2018 9:26
69,6/22/2018 9:28
79,6/22/2018 9:30
99,6/22/2018 9:32
91,6/22/2018 9:34
78,6/22/2018 9:36
74,6/22/2018 9:38
111,6/22/2018 9:40
84,6/22/2018 9:42
97,6/22/2018 9:44
62,6/22/2018 9:46
85,6/22/2018 9:48
85,6/22/2018 9:50
99,6/22/2018 9:52
110,6/22/2018 9:54
42,6/22/2018 9:56
90,6/22/2018 9:58
72,6/22/2018 10:00
67,6/22/2018 10:02
92,6/22/2018 10:04
84,6/22/2018 10:06
87,6/22/2018 10:08
86,6/22/2018 10:10
69,6/22/2018 10:12
101,6/22/2018 10:14
111,6/22/2018 10:16
83,6/22/2018 10:18
107,6/22/2018 10:20
138,6/22/2018 10:22
127,6/22/2018 10:24
91,6/22/2018 10:26
90,6/22/2018 10:28
114,6/22/2018 10:30
97,6/22/2018 10:32
91,6/22/2018 10:34
105,6/22/2018 10:36
89,6/22/2018 10:38
78,6/22/2018 10:40
51,6/22/2018 10:42
100,6/22/2018 10:44
97,6/22/2018 10:46
97,6/22/2018 10:46
63,6/22/2018 10:48
84,6/22/2018 10:50
52,6/22/2018 10:52
41,6/22/2018 10:54
105,6/22/2018 10:56
84,6/22/2018 10:58
102,6/22/2018 11:00
54,6/22/2018 11:02
80,6/22/2018 11:04
106,6/22/2018 11:06
68,6/22/2018 11:08
83,6/22/2018 11:10
91,6/22/2018 11:12
74,6/22/2018 11:14
62,6/22/2018 11:16
92,6/22/2018 11:18
101,6/22/2018 11:20
112,6/22/2018 11:22
87,6/22/2018 11:24
89,6/22/2018 11:26
80,6/22/2018 11:28
96,6/22/2018 11:30
100,6/22/2018 11:32
67,6/22/2018 11:34
96,6/22/2018 11:36
87,6/22/2018 11:38
66,6/22/2018 11:40
69,6/22/2018 11:42
105,6/22/2018 11:44
121,6/22/2018 11:46
62,6/22/2018 11:48
55,6/22/2018 11:50
77,6/22/2018 11:52
87,6/22/2018 11:54
107,6/22/2018 11:56
97,6/22/2018 11:58
90,6/22/2018 12:00
113,6/22/2018 12:02
94,6/22/2018 12:04
65,6/22/2018 12:06
104,6/22/2018 12:08
104,6/22/2018 12:10
92,6/22/2018 12:12
63,6/22/2018 12:14
69,6/22/2018 12:16
95,6/22/2018 12:18
60,6/22/2018 12:20
75,6/22/2018 12:22
101,6/22/2018 12:24
72,6/22/2018 12:26
57,6/22/2018 12:28
114,6/22/2018 12:30
114,6/22/2018 12:32
63,6/22/2018 12:34
106,6/22/2018 12:36
92,6/22/2018 12:38
87,6/22/2018 12:40
74,6/22/2018 12:42
64,6/22/2018 12:44
95,6/22/2018 12:46
120,6/22/2018 12:48
103,6/22/2018 12:50
105,6/22/2018 12:52
64,6/22/2018 12:54
81,6/22/2018 12:56
75,6/22/2018 12:58
70,6/22/2018 13:00
114,6/22/2018 13:02
48,6/22/2018 13:04
66,6/22/2018 13:06
71,6/22/2018 13:08
102,6/22/2018 13:10
95,6/22/2018 13:12
64,6/22/2018 13:14
92,6/22/2018 13:16
90,6/22/2018 13:18
55,6/22/2018 13:20
106,6/22/2018 13:22
43,6/22/2018 13:24
87,6/22/2018 13:26
63,6/22/2018 13:28
81,6/22/2018 13:30
81,6/22/2018 13:30
100,6/22/2018 13:32
104,6/22/2018 13:34
87,6/22/2018 13:36
57,6/22/2018 13:38
122,6/22/2018 13:40
114,6/22/2018 13:42
94,6/22/2018 13:44
85,6/22/2018 13:46
53,6/22/2018 13:48
87,6/22/2018 13:50
79,6/22/2018 13:52
118,6/22/2018 13:54
109,6/22/2018 13:56
87,6/22/2018 13:58
69,6/22/2018 14:00
80,6/22/2018 14:02
114,6/22/2018 14:04
70,6/22/2018 14:06
93,6/22/2018 14:08
76,6/22/2018 14:10
81,6/22/2018 14:12
44,6/22/2018 14:14
113,6/22/2018 14:16
37,6/22/2018 14:18
122,6/22/2018 14:20
75,6/22/2018 14:22
80,6/22/2018 14:24
46,6/22/2018 14:26
66,6/22/2018 14:28
81,6/22/2018 14:30
95,6/22/2018 14:32
104,6/22/2018 14:34
76,6/22/2018 14:36
62,6/22/2018 14:38
63,6/22/2018 14:40
65,6/22/2018 14:42
66,6/22/2018 14:44
93,6/22/2018 14:46
72,6/22/2018 14:48
109,6/22/2018 14:50
40,6/22/2018 14:52
123,6/22/2018 14:54
97,6/22/2018 14:56
58,6/22/2018 14:58
91,6/22/2018 15:00
92,6/22/2018 15:02
64,6/22/2018 15:04
89,6/22/2018 15:06
75,6/22/2018 15:08
58,6/22/2018 15:10
66,6/22/2018 15:12
82,6/22/2018 15:14
69,6/22/2018 15:16
76,6/22/2018 15:18
68,6/22/2018 15:20
85,6/22/2018 15:22
81,6/22/2018 15:24
52,6/22/2018 15:26
100,6/22/2018 15:28
119,6/22/2018 15:30
69,6/22/2018 15:32
75,6/22/2018 15:34
68,6/22/2018 15:36
80,6/22/2018 15:38
84,6/22/2018 15:40
123,6/22/2018 15:42
75,6/22/2018 15:44
84,6/22/2018 15:46
110,6/22/2018 15:48
104,6/22/2018 15:50
109,6/22/2018 15:52
72,6/22/2018 15:54
105,6/22/2018 15:56
107,6/22/2018 15:58
98,6/22/2018 16:00
73,6/22/2018 16:02
62,6/22/2018 16:04
96,6/22/2018 16:06
88,6/22/2018 16:08
101,6/22/2018 16:10
82,6/22/2018 16:12
69,6/22/2018 16:14
82,6/22/2018 16:16
69,6/22/2018 16:18
78,6/22/2018 16:20
114,6/22/2018 16:22
70,6/22/2018 16:24
98,6/22/2018 16:26
83,6/22/2018 16:28
102,6/22/2018 16:30
76,6/22/2018 16:32
87,6/22/2018 16:34
88,6/22/2018 16:36
52,6/22/2018 16:38
63,6/22/2018 16:40
80,6/22/2018 16:42
62,6/22/2018 16:44
91,6/22/2018 16:46
68,6/22/2018 16:48
88,6/22/2018 16:50
87,6/22/2018 16:52
97,6/22/2018 16:54
69,6/22/2018 16:56
86,6/22/2018 16:58
99,6/22/2018 17:00
76,6/22/2018 17:02
106,6/22/2018 17:04
98,6/22/2018 17:06
81,6/22/2018 17:08
65,6/22/2018 17:10
98,6/22/2018 17:12
74,6/22/2018 17:14
94,6/22/2018 17:16
71,6/22/2018 17:18
62,6/22/2018 17:20
100,6/22/2018 17:22
57,6/22/2018 17:24
93,6/22/2018 17:26
64,6/22/2018 17:28
81,6/22/2018 17:30
66,6/22/2018 17:32
71,6/22/2018 17:34
111,6/22/2018 17:36
86,6/22/2018 17:38
56,6/22/2018 17:40
101,6/22/2018 17:42
93,6/22/2018 17:44
80,6/22/2018 17:46
73,6/22/2018 17:48
119,6/22/2018 17:50
123,6/22/2018 17:52
74,6/22/2018 17:54
90,6/22/2018 17:56
72,6/22/2018 17:58
113,6/22/2018 18:00
65,6/22/2018 18:02
106,6/22/2018 18:04
104,6/22/2018 18:06
86,6/22/2018 18:08
89,6/22/2018 18:10
84,6/22/2018 18:12
65,6/22/2018 18:14
84,6/22/2018 18:16
63,6/22/2018 18:18
41,6/22/2018 18:20
64,6/22/2018 18:22
70,6/22/2018 18:24
70,6/22/2018 18:26
97,6/22/2018 18:28
103,6/22/2018 18:30
90,6/22/2018 18:32
93,6/22/2018 18:34
94,6/22/2018 18:36
100,6/22/2018 18:38
77,6/22/2018 18:40
91,6/22/2018 18:42
79,6/22/2018 18:44
44,6/22/2018 18:46
95,6/22/2018 18:48
66,6/22/2018 18:50
75,6/22/2018 18:52
68,6/22/2018 18:54
59,6/22/2018 18:56
85,6/22/2018 18:58
122,6/22/2018 19:00
80,6/22/2018 19:02
115,6/22/2018 19:04
83,6/22/2018 19:06
61,6/22/2018 19:08
76,6/22/2018 19:10
90,6/22/2018 19:12
118,6/22/2018 19:14
85,6/22/2018 19:16
65,6/22/2018 19:18
99,6/22/2018 19:20
82,6/22/2018 19:22
76,6/22/2018 19:24
119,6/22/2018 19:26
101,6/22/2018 19:28
97,6/22/2018 19:30
94,6/22/2018 19:32
98,6/22/2018 19:34
50,6/22/2018 19:36
76,6/22/2018 19:38
90,6/22/2018 19:40
75,6/22/2018 19:42
119,6/22/2018 19:44
89,6/22/2018 19:46
57,6/22/2018 19:48
116,6/22/2018 19:50
81,6/22/2018 19:52
81,6/22/2018 19:54
70,6/22/2018 19:56
80,6/22/2018 19:58
72,6/22/2018 20:00
75,6/22/2018 20:02
71,6/22/2018 20:04
84,6/22/2018 20:06
86,6/22/2018 20:08
76,6/22/2018 20:10
65,6/22/2018 20:12
87,6/22/2018 20:14
112,6/22/2018 20:16
67,6/22/2018 20:18
93,6/22/2018 20:20
78,6/22/2018 20:22
82,6/22/2018 20:24
118,6/22/2018 20:26
87,6/22/2018 20:28
87,6/22/2018 20:30
61,6/22/2018 20:32
122,6/22/2018 20:34
90,6/22/2018 20:36
61,6/22/2018 20:38
86,6/22/2018 20:40
51,6/22/2018 20:42
77,6/22/2018 20:44
58,6/22/2018 20:46
92,6/22/2018 20:48
73,6/22/2018 20:50
74,6/22/2018 20:52
98,6/22/2018 20:54
85,6/22/2018 20:56
83,6/22/2018 20:58
70,6/22/2018 21:00
72,6/22/2018 21:02
99,6/22/2018 21:04
108,6/22/2018 21:06
119,6/22/2018 21:08
112,6/22/2018 21:10
52,6/22/2018 21:12
82,6/22/2018 21:14
100,6/22/2018 21:16
73,6/22/2018 21:18
106,6/22/2018 21:20
72,6/22/2018 21:22
58,6/22/2018 21:24
90,6/22/2018 21:26
105,6/22/2018 21:28
86,6/22/2018 21:30
71,6/22/2018 21:32
103,6/22/2018 21:34
74,6/22/2018 21:36
108,6/22/2018 21:38
61,6/22/2018 21:40
84,6/22/2018 21:42
77,6/22/2018 21:44
64,6/22/2018 21:46
71,6/22/2018 21:48
81,6/22/2018 21:50
80,6/22/2018 21:52
88,6/22/2018 21:54
67,6/22/2018 21:56
78,6/22/2018 21:58
84,6/22/2018 22:00
80,6/22/2018 22:02
115,6/22/2018 22:04
67,6/22/2018 22:06
99,6/22/2018 22:08
