RadiationLevel,DateTime
62,6/22/2018 0:01
74,6/22/2018 0:03
69,6/22/2018 0:05
58,6/22/2018 0:07
79,6/22/2018 0:09
75,6/22/2018 0:11
67,6/22/2018 0:13
76,6/22/2018 0:15
76,6/22/2018 0:17
63,6/22/2018 0:19
79,6/22/2018 0:21
69,6/22/2018 0:23
80,6/22/2018 0:25
73,6/22/2018 0:27
75,6/22/2018 0:29
69,6/22/2018 0:31
80,6/22/2018 0:33
80,6/22/2018 0:35
70,6/22/2018 0:37
58,6/22/2018 0:39
52,6/22/2018 0:41
90,6/22/2018 0:43
64,6/22/2018 0:45
70,6/22/2018 0:47
90,6/22/2018 0:49
75,6/22/2018 0:51
75,6/22/2018 0:53
77,6/22/2018 0:55
76,6/22/2018 0:57
73,6/22/2018 0:59
74,6/22/2018 1:01
85,6/22/2018 1:03
58,6/22/2018 1:05
71,6/22/2018 1:07
96,6/22/2018 1:09
69,6/22/2018 1:11
79,6/22/2018 1:13
67,6/22/2018 1:15
69,6/22/2018 1:17
78,6/22/2018 1:19
58,6/22/2018 1:21
75,6/22/2018 1:23
64,6/22/2018 1:25
61,6/22/2018 1:27
76,6/22/2018 1:29
71,6/22/2018 1:31
71,6/22/2018 1:33
75,6/22/2018 1:35
73,6/22/2018 1:37
68,6/22/2018 1:39
79,6/22/2018 1:41
61,6/22/2018 1:43
83,6/22/2018 1:45
62,6/22/2018 1:47
93,6/22/2018 1:49
78,6/22/2018 1:51
80,6/22/2018 1:53
74,6/22/2018 1:55
75,6/22/2018 1:57
71,6/22/2018 1:59
75,6/22/2018 2:01
85,6/22/2018 2:03
82,6/22/2018 2:05
86,6/22/2018 2:07
72,6/22/2018 2:09
69,6/22/2018 2:11
74,6/22/2018 2:13
93,6/22/2018 2:15
79,6/22/2018 2:17
65,6/22/2018 2:19
77,6/22/2018 2:21
70,6/22/2018 2:23
85,6/22/2018 2:25
70,6/22/2018 2:27
78,6/22/2018 2:29
89,6/22/2018 2:31
86,6/22/2018 2:33
67,6/22/2018 2:35
65,6/22/2018 2:37
103,6/22/2018 2:39
72,6/22/2018 2:41
75,6/22/2018 2:43
75,6/22/2018 2:45
86,6/22/2018 2:47
62,6/22/2018 2:49
68,6/22/2018 2:51
77,6/22/2018 2:53
74,6/22/2018 2:55
76,6/22/2018 2:57
75,6/22/2018 2:59
85,6/22/2018 3:01
92,6/22/2018 3:03
67,6/22/2018 3:05
79,6/22/2018 3:07
77,6/22/2018 3:09
99,6/22/2018 3:11
86,6/22/2018 3:13
64,6/22/2018 3:15
81,6/22/2018 3:17
103,6/22/2018 3:19
78,6/22/2018 3:21
89,6/22/2018 3:23
100,6/22/2018 3:25
89,6/22/2018 3:27
68,6/22/2018 3:29
69,6/22/2018 3:31
72,6/22/2018 3:33
76,6/22/2018 3:35
85,6/22/2018 3:37
85,6/22/2018 3:39
70,6/22/2018 3:41
70,6/22/2018 3:43
71,6/22/2018 3:45
91,6/22/2018 3:47
76,6/22/2018 3:49
77,6/22/2018 3:51
82,6/22/2018 3:53
95,6/22/2018 3:55
87,6/22/2018 3:57
75,6/22/2018 3:59
74,6/22/2018 4:01
58,6/22/2018 4:03
69,6/22/2018 4:05
65,6/22/2018 4:07
77,6/22/2018 4:09
92,6/22/2018 4:11
82,6/22/2018 4:13
77,6/22/2018 4:15
78,6/22/2018 4:17
87,6/22/2018 4:19
86,6/22/2018 4:21
90,6/22/2018 4:23
79,6/22/2018 4:25
82,6/22/2018 4:27
94,6/22/2018 4:29
84,6/22/2018 4:31
89,6/22/2018 4:33
81,6/22/2018 4:35
93,6/22/2018 4:37
93,6/22/2018 4:39
61,6/22/2018 4:41
69,6/22/2018 4:43
94,6/22/2018 4:45
92,6/22/2018 4:47
68,6/22/2018 4:49
88,6/22/2018 4:51
87,6/22/2018 4:53
58,6/22/2018 4:55
88,6/22/2018 4:57
96,6/22/2018 4:59
115,6/22/2018 5:01
95,6/22/2018 5:03
122,6/22/2018 5:05
112,6/22/2018 5:07
108,6/22/2018 5:09
84,6/22/2018 5:11
97,6/22/2018 5:13
89,6/22/2018 5:15
116,6/22/2018 5:17
98,6/22/2018 5:19
75,6/22/2018 5:21
57,6/22/2018 5:23
79,6/22/2018 5:25
91,6/22/2018 5:27
96,6/22/2018 5:29
64,6/22/2018 5:31
78,6/22/2018 5:33
70,6/22/2018 5:35
97,6/22/2018 5:37
91,6/22/2018 5:39
81,6/22/2018 5:41
71,6/22/2018 5:43
72,6/22/2018 5:45
79,6/22/2018 5:47
103,6/22/2018 5:49
78,6/22/2018 5:51
84,6/22/2018 5:53
79,6/22/2018 5:55
68,6/22/2018 5:57
82,6/22/2018 5:59
80,6/22/2018 6:01
62,6/22/2018 6:03
85,6/22/2018 6:05
77,6/22/2018 6:07
83,6/22/2018 6:09
69,6/22/2018 6:11
80,6/22/2018 6:13
64,6/22/2018 6:15
94,6/22/2018 6:17
82,6/22/2018 6:19
65,6/22/2018 6:21
82,6/22/2018 6:23
85,6/22/2018 6:25
72,6/22/2018 6:27
76,6/22/2018 6:29
74,6/22/2018 6:31
74,6/22/2018 6:33
58,6/22/2018 6:35
92,6/22/2018 6:37
63,6/22/2018 6:39
70,6/22/2018 6:41
70,6/22/2018 6:43
107,6/22/2018 6:45
84,6/22/2018 6:47
79,6/22/2018 6:49
85,6/22/2018 6:51
60,6/22/2018 6:53
69,6/22/2018 6:55
89,6/22/2018 6:57
93,6/22/2018 6:59
84,6/22/2018 7:01
70,6/22/2018 7:03
73,6/22/2018 7:05
94,6/22/2018 7:07
63,6/22/2018 7:09
75,6/22/2018 7:11
88,6/22/2018 7:13
72,6/22/2018 7:15
93,6/22/2018 7:17
73,6/22/2018 7:19
65,6/22/2018 7:21
97,6/22/2018 7:23
99,6/22/2018 7:25
100,6/22/2018 7:27
80,6/22/2018 7:29
82,6/22/2018 7:31
83,6/22/2018 7:33
96,6/22/2018 7:35
110,6/22/2018 7:37
102,6/22/2018 7:39
82,6/22/2018 7:41
177,6/22/2018 7:43
181,6/22/2018 7:45
107,6/22/2018 7:47
77,6/22/2018 7:49
100,6/22/2018 7:51
91,6/22/2018 7:53
63,6/22/2018 7:55
88,6/22/2018 7:57
84,6/22/2018 7:59
66,6/22/2018 8:01
91,6/22/2018 8:03
69,6/22/2018 8:05
84,6/22/2018 8:07
97,6/22/2018 8:09
80,6/22/2018 8:11
70,6/22/2018 8:13
77,6/22/2018 8:15
96,6/22/2018 8:17
79,6/22/2018 8:19
88,6/22/2018 8:21
77,6/22/2018 8:23
86,6/22/2018 8:25
85,6/22/2018 8:27
99,6/22/2018 8:29
73,6/22/2018 8:31
74,6/22/2018 8:33
102,6/22/2018 8:35
98,6/22/2018 8:37
117,6/22/2018 8:39
85,6/22/2018 8:41
74,6/22/2018 8:43
84,6/22/2018 8:45
59,6/22/2018 8:47
84,6/22/2018 8:49
92,6/22/2018 8:51
79,6/22/2018 8:53
84,6/22/2018 8:55
113,6/22/2018 8:57
113,6/22/2018 8:59
120,6/22/2018 9:01
84,6/22/2018 9:03
87,6/22/2018 9:05
80,6/22/2018 9:07
93,6/22/2018 9:09
71,6/22/2018 9:11
67,6/22/2018 9:13
78,6/22/2018 9:15
85,6/22/2018 9:17
84,6/22/2018 9:19
82,6/22/2018 9:21
82,6/22/2018 9:23
75,6/22/2018 9:25
87,6/22/2018 9:27
81,6/22/2018 9:29
82,6/22/2018 9:31
70,6/22/2018 9:33
81,6/22/2018 9:35
84,6/22/2018 9:37
95,6/22/2018 9:39
72,6/22/2018 9:41
96,6/22/2018 9:43
93,6/22/2018 9:45
85,6/22/2018 9:47
96,6/22/2018 9:49
69,6/22/2018 9:51
79,6/22/2018 9:53
77,6/22/2018 9:55
75,6/22/2018 9:57
89,6/22/2018 9:59
104,6/22/2018 10:01
90,6/22/2018 10:03
75,6/22/2018 10:05
89,6/22/2018 10:07
91,6/22/2018 10:09
102,6/22/2018 10:11
105,6/22/2018 10:13
103,6/22/2018 10:15
94,6/22/2018 10:17
99,6/22/2018 10:19
80,6/22/2018 10:21
72,6/22/2018 10:23
121,6/22/2018 10:25
107,6/22/2018 10:27
109,6/22/2018 10:29
90,6/22/2018 10:31
70,6/22/2018 10:33
96,6/22/2018 10:35
89,6/22/2018 10:37
72,6/22/2018 10:39
87,6/22/2018 10:41
86,6/22/2018 10:43
77,6/22/2018 10:45
97,6/22/2018 10:47
103,6/22/2018 10:49
76,6/22/2018 10:51
82,6/22/2018 10:53
83,6/22/2018 10:55
86,6/22/2018 10:57
65,6/22/2018 10:59
89,6/22/2018 11:01
84,6/22/2018 11:03
78,6/22/2018 11:05
91,6/22/2018 11:07
98,6/22/2018 11:09
91,6/22/2018 11:11
107,6/22/2018 11:13
105,6/22/2018 11:15
57,6/22/2018 11:17
90,6/22/2018 11:19
87,6/22/2018 11:21
110,6/22/2018 11:23
90,6/22/2018 11:25
69,6/22/2018 11:27
80,6/22/2018 11:29
84,6/22/2018 11:31
75,6/22/2018 11:33
87,6/22/2018 11:35
83,6/22/2018 11:37
75,6/22/2018 11:39
93,6/22/2018 11:41
57,6/22/2018 11:43
70,6/22/2018 11:45
70,6/22/2018 11:47
106,6/22/2018 11:49
76,6/22/2018 11:51
97,6/22/2018 11:53
66,6/22/2018 11:55
77,6/22/2018 11:57
57,6/22/2018 11:59
78,6/22/2018 12:01
88,6/22/2018 12:03
84,6/22/2018 12:05
78,6/22/2018 12:07
66,6/22/2018 12:09
72,6/22/2018 12:11
88,6/22/2018 12:13
72,6/22/2018 12:15
85,6/22/2018 12:17
79,6/22/2018 12:19
67,6/22/2018 12:21
68,6/22/2018 12:23
86,6/22/2018 12:25
75,6/22/2018 12:27
74,6/22/2018 12:29
49,6/22/2018 12:31
70,6/22/2018 12:33
84,6/22/2018 12:35
78,6/22/2018 12:37
72,6/22/2018 12:39
71,6/22/2018 12:41
89,6/22/2018 12:43
85,6/22/2018 12:45
83,6/22/2018 12:47
75,6/22/2018 12:49
78,6/22/2018 12:51
67,6/22/2018 12:53
85,6/22/2018 12:55
67,6/22/2018 12:57
74,6/22/2018 12:59
77,6/22/2018 13:01
82,6/22/2018 13:03
57,6/22/2018 13:05
63,6/22/2018 13:07
56,6/22/2018 13:09
87,6/22/2018 13:11
94,6/22/2018 13:13
62,6/22/2018 13:15
68,6/22/2018 13:17
80,6/22/2018 13:19
74,6/22/2018 13:21
59,6/22/2018 13:23
74,6/22/2018 13:25
82,6/22/2018 13:27
84,6/22/2018 13:29
59,6/22/2018 13:31
76,6/22/2018 13:33
87,6/22/2018 13:35
70,6/22/2018 13:37
65,6/22/2018 13:39
68,6/22/2018 13:41
68,6/22/2018 13:43
74,6/22/2018 13:45
66,6/22/2018 13:47
54,6/22/2018 13:49
60,6/22/2018 13:51
65,6/22/2018 13:53
79,6/22/2018 13:55
77,6/22/2018 13:57
80,6/22/2018 13:59
69,6/22/2018 14:01
81,6/22/2018 14:03
58,6/22/2018 14:05
78,6/22/2018 14:07
68,6/22/2018 14:09
82,6/22/2018 14:11
65,6/22/2018 14:13
84,6/22/2018 14:15
67,6/22/2018 14:17
72,6/22/2018 14:19
78,6/22/2018 14:21
71,6/22/2018 14:23
77,6/22/2018 14:25
82,6/22/2018 14:27
72,6/22/2018 14:29
76,6/22/2018 14:31
78,6/22/2018 14:33
56,6/22/2018 14:35
69,6/22/2018 14:37
79,6/22/2018 14:39
63,6/22/2018 14:41
78,6/22/2018 14:43
86,6/22/2018 14:45
70,6/22/2018 14:47
91,6/22/2018 14:49
65,6/22/2018 14:51
71,6/22/2018 14:53
70,6/22/2018 14:55
77,6/22/2018 14:57
88,6/22/2018 14:59
86,6/22/2018 15:01
68,6/22/2018 15:03
82,6/22/2018 15:05
59,6/22/2018 15:07
67,6/22/2018 15:09
62,6/22/2018 15:11
72,6/22/2018 15:13
80,6/22/2018 15:15
84,6/22/2018 15:17
73,6/22/2018 15:19
93,6/22/2018 15:21
67,6/22/2018 15:23
57,6/22/2018 15:25
61,6/22/2018 15:27
54,6/22/2018 15:29
71,6/22/2018 15:31
80,6/22/2018 15:33
59,6/22/2018 15:35
82,6/22/2018 15:37
79,6/22/2018 15:39
110,6/22/2018 15:41
100,6/22/2018 15:43
81,6/22/2018 15:45
79,6/22/2018 15:47
52,6/22/2018 15:49
85,6/22/2018 15:51
80,6/22/2018 15:53
79,6/22/2018 15:55
71,6/22/2018 15:57
89,6/22/2018 15:59
62,6/22/2018 16:01
72,6/22/2018 16:03
63,6/22/2018 16:05
75,6/22/2018 16:07
90,6/22/2018 16:09
78,6/22/2018 16:11
60,6/22/2018 16:13
60,6/22/2018 16:15
69,6/22/2018 16:17
90,6/22/2018 16:19
104,6/22/2018 16:21
84,6/22/2018 16:23
95,6/22/2018 16:25
94,6/22/2018 16:27
85,6/22/2018 16:29
63,6/22/2018 16:31
92,6/22/2018 16:33
78,6/22/2018 16:35
65,6/22/2018 16:37
86,6/22/2018 16:39
72,6/22/2018 16:41
82,6/22/2018 16:43
65,6/22/2018 16:45
78,6/22/2018 16:47
69,6/22/2018 16:49
81,6/22/2018 16:51
75,6/22/2018 16:53
63,6/22/2018 16:55
64,6/22/2018 16:57
68,6/22/2018 16:59
89,6/22/2018 17:01
83,6/22/2018 17:03
78,6/22/2018 17:05
78,6/22/2018 17:07
68,6/22/2018 17:09
89,6/22/2018 17:11
74,6/22/2018 17:13
90,6/22/2018 17:15
90,6/22/2018 17:17
76,6/22/2018 17:19
85,6/22/2018 17:21
89,6/22/2018 17:23
70,6/22/2018 17:25
82,6/22/2018 17:27
88,6/22/2018 17:29
70,6/22/2018 17:31
86,6/22/2018 17:33
68,6/22/2018 17:35
63,6/22/2018 17:37
77,6/22/2018 17:39
65,6/22/2018 17:41
91,6/22/2018 17:43
67,6/22/2018 17:45
63,6/22/2018 17:47
77,6/22/2018 17:49
81,6/22/2018 17:51
79,6/22/2018 17:53
69,6/22/2018 17:55
93,6/22/2018 17:57
79,6/22/2018 17:59
56,6/22/2018 18:01
75,6/22/2018 18:03
