RadiationLevel,DateTime
82,6/22/2018 23:58
79,6/22/2018 0:01
80,6/22/2018 0:03
66,6/22/2018 0:05
93,6/22/2018 0:07
124,6/22/2018 0:09
105,6/22/2018 0:11
103,6/22/2018 0:13
75,6/22/2018 0:15
48,6/22/2018 0:17
40,6/22/2018 0:19
78,6/22/2018 0:21
92,6/22/2018 0:23
93,6/22/2018 0:25
92,6/22/2018 0:27
85,6/22/2018 0:29
77,6/22/2018 0:31
112,6/22/2018 0:33
60,6/22/2018 0:35
80,6/22/2018 0:37
62,6/22/2018 0:39
61,6/22/2018 0:41
78,6/22/2018 0:43
87,6/22/2018 0:45
41,6/22/2018 0:47
104,6/22/2018 0:49
84,6/22/2018 0:51
81,6/22/2018 0:53
74,6/22/2018 0:55
60,6/22/2018 0:57
89,6/22/2018 0:59
70,6/22/2018 1:01
72,6/22/2018 1:03
93,6/22/2018 1:05
56,6/22/2018 1:07
90,6/22/2018 1:09
55,6/22/2018 1:11
57,6/22/2018 1:13
86,6/22/2018 1:15
91,6/22/2018 1:17
92,6/22/2018 1:19
88,6/22/2018 1:21
75,6/22/2018 1:23
60,6/22/2018 1:25
83,6/22/2018 1:27
83,6/22/2018 1:29
75,6/22/2018 1:31
86,6/22/2018 1:33
102,6/22/2018 1:35
45,6/22/2018 1:37
85,6/22/2018 1:39
88,6/22/2018 1:41
99,6/22/2018 1:43
105,6/22/2018 1:45
80,6/22/2018 1:47
69,6/22/2018 1:49
72,6/22/2018 1:51
120,6/22/2018 1:53
74,6/22/2018 1:55
89,6/22/2018 1:57
68,6/22/2018 1:59
86,6/22/2018 2:01
73,6/22/2018 2:03
67,6/22/2018 2:05
62,6/22/2018 2:07
62,6/22/2018 2:07
105,6/22/2018 2:09
85,6/22/2018 2:11
93,6/22/2018 2:13
96,6/22/2018 2:15
83,6/22/2018 2:17
84,6/22/2018 2:19
93,6/22/2018 2:21
63,6/22/2018 2:23
95,6/22/2018 2:25
87,6/22/2018 2:27
91,6/22/2018 2:29
86,6/22/2018 2:31
88,6/22/2018 2:33
60,6/22/2018 2:35
42,6/22/2018 2:37
61,6/22/2018 2:39
73,6/22/2018 2:41
100,6/22/2018 2:43
111,6/22/2018 2:45
27,6/22/2018 2:47
89,6/22/2018 2:49
71,6/22/2018 2:51
53,6/22/2018 2:53
100,6/22/2018 2:55
96,6/22/2018 2:57
102,6/22/2018 2:59
106,6/22/2018 3:01
115,6/22/2018 3:03
93,6/22/2018 3:05
104,6/22/2018 3:07
92,6/22/2018 3:09
73,6/22/2018 3:11
83,6/22/2018 3:13
92,6/22/2018 3:15
90,6/22/2018 3:17
67,6/22/2018 3:19
85,6/22/2018 3:21
105,6/22/2018 3:23
120,6/22/2018 3:25
93,6/22/2018 3:27
103,6/22/2018 3:29
81,6/22/2018 3:31
79,6/22/2018 3:33
105,6/22/2018 3:35
104,6/22/2018 3:37
48,6/22/2018 3:39
81,6/22/2018 3:41
91,6/22/2018 3:43
104,6/22/2018 3:45
118,6/22/2018 3:47
