RadiationLevel,DateTime
93,6/22/2018 0:03
93,6/22/2018 0:05
93,6/22/2018 0:07
93,6/22/2018 0:09
93,6/22/2018 0:11
93,6/22/2018 0:13
93,6/22/2018 0:15
93,6/22/2018 0:17
93,6/22/2018 0:19
93,6/22/2018 0:21
93,6/22/2018 0:23
93,6/22/2018 0:25
93,6/22/2018 0:27
93,6/22/2018 0:29
93,6/22/2018 0:31
93,6/22/2018 0:33
93,6/22/2018 0:35
93,6/22/2018 0:37
93,6/22/2018 0:39
93,6/22/2018 0:41
93,6/22/2018 0:43
93,6/22/2018 0:45
93,6/22/2018 0:47
93,6/22/2018 0:49
93,6/22/2018 0:51
93,6/22/2018 0:53
93,6/22/2018 0:53
93,6/22/2018 0:55
93,6/22/2018 0:57
93,6/22/2018 0:59
93,6/22/2018 0:59
93,6/22/2018 1:01
93,6/22/2018 1:03
93,6/22/2018 1:05
93,6/22/2018 1:07
93,6/22/2018 1:09
93,6/22/2018 1:11
93,6/22/2018 1:13
93,6/22/2018 1:15
93,6/22/2018 1:17
93,6/22/2018 1:19
93,6/22/2018 1:21
93,6/22/2018 1:23
93,6/22/2018 1:25
93,6/22/2018 1:27
93,6/22/2018 1:29
93,6/22/2018 1:31
93,6/22/2018 1:33
93,6/22/2018 1:35
93,6/22/2018 1:37
93,6/22/2018 1:39
93,6/22/2018 1:41
93,6/22/2018 1:43
93,6/22/2018 1:43
93,6/22/2018 1:45
93,6/22/2018 1:47
93,6/22/2018 1:49
93,6/22/2018 1:51
93,6/22/2018 1:53
93,6/22/2018 1:55
93,6/22/2018 1:57
93,6/22/2018 1:59
93,6/22/2018 2:03
93,6/22/2018 2:05
93,6/22/2018 2:07
93,6/22/2018 2:09
93,6/22/2018 2:11
93,6/22/2018 2:13
156,6/22/2018 2:15
93,6/22/2018 2:17
93,6/22/2018 2:19
93,6/22/2018 2:21
93,6/22/2018 2:23
93,6/22/2018 2:25
93,6/22/2018 2:27
93,6/22/2018 2:29
93,6/22/2018 2:31
93,6/22/2018 2:33
93,6/22/2018 2:35
93,6/22/2018 2:37
93,6/22/2018 2:39
93,6/22/2018 2:41
93,6/22/2018 2:43
156,6/22/2018 2:45
93,6/22/2018 2:47
93,6/22/2018 2:49
93,6/22/2018 2:51
93,6/22/2018 2:53
93,6/22/2018 2:55
93,6/22/2018 2:57
156,6/22/2018 2:59
93,6/22/2018 3:01
93,6/22/2018 3:03
93,6/22/2018 3:05
93,6/22/2018 3:07
93,6/22/2018 3:09
93,6/22/2018 3:11
93,6/22/2018 3:13
93,6/22/2018 3:15
93,6/22/2018 3:17
93,6/22/2018 3:19
93,6/22/2018 3:21
93,6/22/2018 3:23
93,6/22/2018 3:25
156,6/22/2018 3:27
93,6/22/2018 3:29
93,6/22/2018 3:31
156,6/22/2018 3:33
156,6/22/2018 3:35
156,6/22/2018 3:37
156,6/22/2018 3:39
156,6/22/2018 3:41
218,6/22/2018 3:43
218,6/22/2018 3:45
281,6/22/2018 3:47
344,6/22/2018 3:49
281,6/22/2018 3:51
218,6/22/2018 3:53
218,6/22/2018 3:55
281,6/22/2018 3:57
