RadiationLevel,DateTime
60,6/22/2018 0:00
60,6/22/2018 0:02
66,6/22/2018 0:04
70,6/22/2018 0:06
56,6/22/2018 0:08
59,6/22/2018 0:10
66,6/22/2018 0:12
65,6/22/2018 0:14
71,6/22/2018 0:16
71,6/22/2018 0:18
51,6/22/2018 0:20
60,6/22/2018 0:22
73,6/22/2018 0:24
68,6/22/2018 0:26
54,6/22/2018 0:28
60,6/22/2018 0:30
59,6/22/2018 0:32
62,6/22/2018 0:34
72,6/22/2018 0:36
45,6/22/2018 0:38
64,6/22/2018 0:40
63,6/22/2018 0:42
65,6/22/2018 0:44
59,6/22/2018 0:46
79,6/22/2018 0:48
67,6/22/2018 0:50
59,6/22/2018 0:52
77,6/22/2018 0:54
67,6/22/2018 0:56
67,6/22/2018 0:58
73,6/22/2018 1:00
63,6/22/2018 1:02
69,6/22/2018 1:04
81,6/22/2018 1:06
68,6/22/2018 1:08
66,6/22/2018 1:10
77,6/22/2018 1:12
69,6/22/2018 1:14
70,6/22/2018 1:16
72,6/22/2018 1:18
78,6/22/2018 1:20
72,6/22/2018 1:22
35,6/22/2018 1:24
66,6/22/2018 1:26
58,6/22/2018 1:28
75,6/22/2018 1:30
51,6/22/2018 1:32
76,6/22/2018 1:34
81,6/22/2018 1:36
57,6/22/2018 1:38
62,6/22/2018 1:40
55,6/22/2018 1:42
49,6/22/2018 1:44
54,6/22/2018 1:46
71,6/22/2018 1:48
48,6/22/2018 1:50
71,6/22/2018 1:52
54,6/22/2018 1:54
60,6/22/2018 1:56
76,6/22/2018 1:58
66,6/22/2018 2:00
69,6/22/2018 2:02
70,6/22/2018 2:04
58,6/22/2018 2:06
63,6/22/2018 2:08
72,6/22/2018 2:10
71,6/22/2018 2:12
77,6/22/2018 2:14
50,6/22/2018 2:16
61,6/22/2018 2:18
85,6/22/2018 2:20
68,6/22/2018 2:22
63,6/22/2018 2:24
81,6/22/2018 2:26
82,6/22/2018 2:28
71,6/22/2018 2:30
67,6/22/2018 2:32
74,6/22/2018 2:34
45,6/22/2018 2:36
73,6/22/2018 2:38
61,6/22/2018 2:40
76,6/22/2018 2:42
50,6/22/2018 2:44
50,6/22/2018 2:46
66,6/22/2018 2:48
68,6/22/2018 2:50
73,6/22/2018 2:52
55,6/22/2018 2:54
65,6/22/2018 2:56
60,6/22/2018 2:58
54,6/22/2018 3:00
73,6/22/2018 3:02
63,6/22/2018 3:04
54,6/22/2018 3:06
69,6/22/2018 3:08
50,6/22/2018 3:10
67,6/22/2018 3:12
52,6/22/2018 3:14
61,6/22/2018 3:16
65,6/22/2018 3:18
53,6/22/2018 3:20
74,6/22/2018 3:22
72,6/22/2018 3:24
68,6/22/2018 3:26
61,6/22/2018 3:28
64,6/22/2018 3:30
42,6/22/2018 3:32
64,6/22/2018 3:34
54,6/22/2018 3:36
67,6/22/2018 3:38
76,6/22/2018 3:40
56,6/22/2018 3:42
44,6/22/2018 3:44
91,6/22/2018 3:46
63,6/22/2018 3:48
71,6/22/2018 3:50
73,6/22/2018 3:52
54,6/22/2018 3:54
82,6/22/2018 3:56
60,6/22/2018 3:58
63,6/22/2018 4:00
72,6/22/2018 4:02
54,6/22/2018 4:04
57,6/22/2018 4:06
55,6/22/2018 4:08
70,6/22/2018 4:10
73,6/22/2018 4:12
67,6/22/2018 4:14
85,6/22/2018 4:16
68,6/22/2018 4:18
54,6/22/2018 4:20
57,6/22/2018 4:22
59,6/22/2018 4:24
62,6/22/2018 4:26
66,6/22/2018 4:28
73,6/22/2018 4:30
72,6/22/2018 4:32
68,6/22/2018 4:34
64,6/22/2018 4:36
58,6/22/2018 4:38
71,6/22/2018 4:40
54,6/22/2018 4:42
76,6/22/2018 4:44
59,6/22/2018 4:46
81,6/22/2018 4:48
62,6/22/2018 4:50
59,6/22/2018 4:52
77,6/22/2018 4:54
68,6/22/2018 4:56
75,6/22/2018 4:58
67,6/22/2018 5:00
39,6/22/2018 5:02
59,6/22/2018 5:04
68,6/22/2018 5:06
58,6/22/2018 5:08
84,6/22/2018 5:10
90,6/22/2018 5:12
64,6/22/2018 5:14
67,6/22/2018 5:16
53,6/22/2018 5:18
59,6/22/2018 5:20
63,6/22/2018 5:22
70,6/22/2018 5:24
67,6/22/2018 5:26
73,6/22/2018 5:28
75,6/22/2018 5:30
74,6/22/2018 5:32
51,6/22/2018 5:34
71,6/22/2018 5:36
49,6/22/2018 5:38
67,6/22/2018 5:40
68,6/22/2018 5:42
90,6/22/2018 5:44
81,6/22/2018 5:46
69,6/22/2018 5:48
66,6/22/2018 5:50
74,6/22/2018 5:52
73,6/22/2018 5:54
65,6/22/2018 5:56
71,6/22/2018 5:58
99,6/22/2018 6:00
64,6/22/2018 6:02
86,6/22/2018 6:04
74,6/22/2018 6:06
49,6/22/2018 6:08
72,6/22/2018 6:10
65,6/22/2018 6:12
81,6/22/2018 6:14
77,6/22/2018 6:16
69,6/22/2018 6:18
71,6/22/2018 6:20
86,6/22/2018 6:22
70,6/22/2018 6:24
89,6/22/2018 6:26
84,6/22/2018 6:28
63,6/22/2018 6:30
64,6/22/2018 6:32
72,6/22/2018 6:34
67,6/22/2018 6:36
67,6/22/2018 6:38
70,6/22/2018 6:40
74,6/22/2018 6:42
56,6/22/2018 6:44
63,6/22/2018 6:46
60,6/22/2018 6:48
70,6/22/2018 6:50
84,6/22/2018 6:52
80,6/22/2018 6:54
65,6/22/2018 6:56
62,6/22/2018 6:58
81,6/22/2018 7:00
76,6/22/2018 7:02
56,6/22/2018 7:04
74,6/22/2018 7:06
67,6/22/2018 7:08
71,6/22/2018 7:10
67,6/22/2018 7:12
60,6/22/2018 7:14
66,6/22/2018 7:16
81,6/22/2018 7:18
69,6/22/2018 7:20
62,6/22/2018 7:22
75,6/22/2018 7:24
63,6/22/2018 7:26
66,6/22/2018 7:28
58,6/22/2018 7:30
74,6/22/2018 7:32
76,6/22/2018 7:34
59,6/22/2018 7:36
71,6/22/2018 7:38
89,6/22/2018 7:40
62,6/22/2018 7:42
68,6/22/2018 7:44
63,6/22/2018 7:46
64,6/22/2018 7:48
44,6/22/2018 7:50
64,6/22/2018 7:52
70,6/22/2018 7:54
80,6/22/2018 7:56
91,6/22/2018 7:58
65,6/22/2018 8:00
69,6/22/2018 8:02
74,6/22/2018 8:04
70,6/22/2018 8:06
50,6/22/2018 8:08
71,6/22/2018 8:10
74,6/22/2018 8:12
75,6/22/2018 8:14
62,6/22/2018 8:16
76,6/22/2018 8:18
64,6/22/2018 8:20
72,6/22/2018 8:22
53,6/22/2018 8:24
67,6/22/2018 8:26
45,6/22/2018 8:28
56,6/22/2018 8:30
75,6/22/2018 8:32
72,6/22/2018 8:34
80,6/22/2018 8:36
74,6/22/2018 8:38
92,6/22/2018 8:40
81,6/22/2018 8:42
77,6/22/2018 8:44
63,6/22/2018 8:46
63,6/22/2018 8:48
70,6/22/2018 8:50
53,6/22/2018 8:52
78,6/22/2018 8:54
70,6/22/2018 8:56
51,6/22/2018 8:58
60,6/22/2018 9:00
75,6/22/2018 9:02
91,6/22/2018 9:04
55,6/22/2018 9:06
54,6/22/2018 9:08
66,6/22/2018 9:10
66,6/22/2018 9:12
55,6/22/2018 9:14
57,6/22/2018 9:16
67,6/22/2018 9:18
72,6/22/2018 9:20
70,6/22/2018 9:22
83,6/22/2018 9:24
55,6/22/2018 9:26
69,6/22/2018 9:28
62,6/22/2018 9:30
63,6/22/2018 9:32
68,6/22/2018 9:34
73,6/22/2018 9:36
63,6/22/2018 9:38
63,6/22/2018 9:40
72,6/22/2018 9:42
75,6/22/2018 9:44
62,6/22/2018 9:46
75,6/22/2018 9:48
67,6/22/2018 9:50
62,6/22/2018 9:52
72,6/22/2018 9:54
69,6/22/2018 9:56
76,6/22/2018 9:58
81,6/22/2018 10:00
78,6/22/2018 10:02
55,6/22/2018 10:04
65,6/22/2018 10:06
50,6/22/2018 10:08
84,6/22/2018 10:10
62,6/22/2018 10:12
64,6/22/2018 10:14
58,6/22/2018 10:16
63,6/22/2018 10:18
64,6/22/2018 10:20
63,6/22/2018 10:22
69,6/22/2018 10:24
64,6/22/2018 10:26
65,6/22/2018 10:28
67,6/22/2018 10:30
87,6/22/2018 10:32
60,6/22/2018 10:34
89,6/22/2018 10:36
77,6/22/2018 10:38
40,6/22/2018 10:40
76,6/22/2018 10:42
69,6/22/2018 10:44
66,6/22/2018 10:46
52,6/22/2018 10:48
61,6/22/2018 10:50
68,6/22/2018 10:52
54,6/22/2018 10:54
83,6/22/2018 10:56
70,6/22/2018 10:58
63,6/22/2018 11:00
52,6/22/2018 11:02
74,6/22/2018 11:04
78,6/22/2018 11:06
67,6/22/2018 11:08
70,6/22/2018 11:10
88,6/22/2018 11:12
57,6/22/2018 11:14
59,6/22/2018 11:16
44,6/22/2018 11:18
87,6/22/2018 11:20
52,6/22/2018 11:22
77,6/22/2018 11:24
93,6/22/2018 11:26
66,6/22/2018 11:28
68,6/22/2018 11:30
55,6/22/2018 11:32
77,6/22/2018 11:34
101,6/22/2018 11:36
66,6/22/2018 11:38
94,6/22/2018 11:40
75,6/22/2018 11:42
82,6/22/2018 11:44
67,6/22/2018 11:46
84,6/22/2018 11:48
80,6/22/2018 11:50
79,6/22/2018 11:52
67,6/22/2018 11:54
62,6/22/2018 11:56
60,6/22/2018 11:58
77,6/22/2018 12:00
65,6/22/2018 12:02
83,6/22/2018 12:04
42,6/22/2018 12:06
59,6/22/2018 12:08
65,6/22/2018 12:10
75,6/22/2018 12:12
92,6/22/2018 12:14
86,6/22/2018 12:16
75,6/22/2018 12:18
67,6/22/2018 12:20
81,6/22/2018 12:22
81,6/22/2018 12:24
73,6/22/2018 12:26
72,6/22/2018 12:28
77,6/22/2018 12:30
54,6/22/2018 12:32
72,6/22/2018 12:34
76,6/22/2018 12:36
74,6/22/2018 12:38
62,6/22/2018 12:40
60,6/22/2018 12:42
67,6/22/2018 12:44
61,6/22/2018 12:46
94,6/22/2018 12:48
82,6/22/2018 12:50
91,6/22/2018 12:52
93,6/22/2018 12:54
67,6/22/2018 12:56
66,6/22/2018 12:58
73,6/22/2018 13:00
72,6/22/2018 13:02
121,6/22/2018 13:04
104,6/22/2018 13:06
91,6/22/2018 13:08
86,6/22/2018 13:10
71,6/22/2018 13:12
62,6/22/2018 13:14
90,6/22/2018 13:16
78,6/22/2018 13:18
76,6/22/2018 13:20
111,6/22/2018 13:22
70,6/22/2018 13:24
67,6/22/2018 13:26
55,6/22/2018 13:28
74,6/22/2018 13:30
79,6/22/2018 13:32
89,6/22/2018 13:34
79,6/22/2018 13:36
82,6/22/2018 13:38
80,6/22/2018 13:40
80,6/22/2018 13:42
89,6/22/2018 13:44
75,6/22/2018 13:46
88,6/22/2018 13:48
63,6/22/2018 13:50
69,6/22/2018 13:52
53,6/22/2018 13:54
70,6/22/2018 13:56
83,6/22/2018 13:58
76,6/22/2018 14:00
68,6/22/2018 14:02
72,6/22/2018 14:04
70,6/22/2018 14:06
78,6/22/2018 14:08
82,6/22/2018 14:10
88,6/22/2018 14:12
69,6/22/2018 14:14
75,6/22/2018 14:16
67,6/22/2018 14:18
76,6/22/2018 14:20
68,6/22/2018 14:22
84,6/22/2018 14:24
56,6/22/2018 14:26
79,6/22/2018 14:28
70,6/22/2018 14:30
79,6/22/2018 14:32
70,6/22/2018 14:34
91,6/22/2018 14:36
77,6/22/2018 14:38
80,6/22/2018 14:40
75,6/22/2018 14:42
79,6/22/2018 14:44
64,6/22/2018 14:46
97,6/22/2018 14:48
85,6/22/2018 14:50
79,6/22/2018 14:52
76,6/22/2018 14:54
57,6/22/2018 14:56
73,6/22/2018 14:58
83,6/22/2018 15:00
55,6/22/2018 15:02
68,6/22/2018 15:04
71,6/22/2018 15:06
60,6/22/2018 15:08
64,6/22/2018 15:10
69,6/22/2018 15:12
71,6/22/2018 15:14
67,6/22/2018 15:16
75,6/22/2018 15:18
65,6/22/2018 15:20
63,6/22/2018 15:22
68,6/22/2018 15:24
77,6/22/2018 15:26
64,6/22/2018 15:28
89,6/22/2018 15:30
60,6/22/2018 15:32
45,6/22/2018 15:34
62,6/22/2018 15:36
70,6/22/2018 15:38
64,6/22/2018 15:40
57,6/22/2018 15:42
79,6/22/2018 15:44
62,6/22/2018 15:46
58,6/22/2018 15:48
58,6/22/2018 15:50
72,6/22/2018 15:52
73,6/22/2018 15:54
75,6/22/2018 15:56
70,6/22/2018 15:58
67,6/22/2018 16:00
58,6/22/2018 16:02
65,6/22/2018 16:04
61,6/22/2018 16:06
67,6/22/2018 16:08
71,6/22/2018 16:10
69,6/22/2018 16:12
45,6/22/2018 16:14
52,6/22/2018 16:16
71,6/22/2018 16:18
70,6/22/2018 16:20
68,6/22/2018 16:22
74,6/22/2018 16:24
76,6/22/2018 16:26
60,6/22/2018 16:28
80,6/22/2018 16:30
67,6/22/2018 16:32
65,6/22/2018 16:34
37,6/22/2018 16:36
55,6/22/2018 16:38
49,6/22/2018 16:40
92,6/22/2018 16:42
67,6/22/2018 16:44
77,6/22/2018 16:46
73,6/22/2018 16:48
52,6/22/2018 16:50
56,6/22/2018 16:52
71,6/22/2018 16:54
78,6/22/2018 16:56
71,6/22/2018 16:58
67,6/22/2018 17:00
42,6/22/2018 17:02
71,6/22/2018 17:04
69,6/22/2018 17:06
74,6/22/2018 17:08
80,6/22/2018 17:10
58,6/22/2018 17:12
57,6/22/2018 17:14
65,6/22/2018 17:16
63,6/22/2018 17:18
70,6/22/2018 17:20
70,6/22/2018 17:22
66,6/22/2018 17:24
93,6/22/2018 17:26
66,6/22/2018 17:28
80,6/22/2018 17:30
80,6/22/2018 17:32
77,6/22/2018 17:34
63,6/22/2018 17:36
64,6/22/2018 17:38
55,6/22/2018 17:40
70,6/22/2018 17:42
76,6/22/2018 17:44
58,6/22/2018 17:46
46,6/22/2018 17:48
57,6/22/2018 17:50
53,6/22/2018 17:52
62,6/22/2018 17:54
69,6/22/2018 17:56
60,6/22/2018 17:58
71,6/22/2018 18:00
60,6/22/2018 18:02
79,6/22/2018 18:04
73,6/22/2018 18:06
66,6/22/2018 18:08
68,6/22/2018 18:10
63,6/22/2018 18:12
63,6/22/2018 18:14
68,6/22/2018 18:16
65,6/22/2018 18:18
70,6/22/2018 18:20
50,6/22/2018 18:22
62,6/22/2018 18:24
