RadiationLevel,DateTime
61,6/22/2018 0:01
94,6/22/2018 0:03
92,6/22/2018 0:05
88,6/22/2018 0:07
50,6/22/2018 0:09
64,6/22/2018 0:11
96,6/22/2018 0:13
52,6/22/2018 0:15
65,6/22/2018 0:17
55,6/22/2018 0:19
70,6/22/2018 0:21
56,6/22/2018 0:23
64,6/22/2018 0:25
80,6/22/2018 0:27
54,6/22/2018 0:29
59,6/22/2018 0:31
83,6/22/2018 0:33
101,6/22/2018 0:35
27,6/22/2018 0:37
71,6/22/2018 0:39
84,6/22/2018 0:41
96,6/22/2018 0:43
41,6/22/2018 0:45
68,6/22/2018 0:47
28,6/22/2018 0:49
70,6/22/2018 0:51
58,6/22/2018 0:53
61,6/22/2018 0:55
67,6/22/2018 0:57
65,6/22/2018 0:59
41,6/22/2018 1:01
95,6/22/2018 1:03
79,6/22/2018 1:05
41,6/22/2018 1:07
80,6/22/2018 1:09
32,6/22/2018 1:11
97,6/22/2018 1:13
90,6/22/2018 1:15
62,6/22/2018 1:17
93,6/22/2018 1:19
90,6/22/2018 1:21
102,6/22/2018 1:23
70,6/22/2018 1:25
43,6/22/2018 1:27
53,6/22/2018 1:29
60,6/22/2018 1:31
52,6/22/2018 1:33
47,6/22/2018 1:35
60,6/22/2018 1:37
37,6/22/2018 1:39
68,6/22/2018 1:41
60,6/22/2018 1:43
102,6/22/2018 1:45
69,6/22/2018 1:47
65,6/22/2018 1:49
23,6/22/2018 1:51
48,6/22/2018 1:53
72,6/22/2018 1:55
81,6/22/2018 1:57
65,6/22/2018 1:59
93,6/22/2018 2:01
19,6/22/2018 2:03
49,6/22/2018 2:05
43,6/22/2018 2:07
93,6/22/2018 2:09
95,6/22/2018 2:11
61,6/22/2018 2:13
74,6/22/2018 2:15
74,6/22/2018 2:17
73,6/22/2018 2:19
43,6/22/2018 2:21
89,6/22/2018 2:23
71,6/22/2018 2:25
71,6/22/2018 2:27
87,6/22/2018 2:29
64,6/22/2018 2:31
59,6/22/2018 2:33
77,6/22/2018 2:35
64,6/22/2018 2:37
88,6/22/2018 2:39
67,6/22/2018 2:41
76,6/22/2018 2:43
79,6/22/2018 2:45
102,6/22/2018 2:47
54,6/22/2018 2:49
59,6/22/2018 2:51
79,6/22/2018 2:53
34,6/22/2018 2:55
48,6/22/2018 2:57
78,6/22/2018 2:59
58,6/22/2018 3:01
89,6/22/2018 3:03
56,6/22/2018 3:05
34,6/22/2018 3:07
67,6/22/2018 3:09
68,6/22/2018 3:11
67,6/22/2018 3:13
48,6/22/2018 3:15
73,6/22/2018 3:17
45,6/22/2018 3:19
52,6/22/2018 3:21
91,6/22/2018 3:23
103,6/22/2018 3:25
70,6/22/2018 3:27
41,6/22/2018 3:29
51,6/22/2018 3:31
50,6/22/2018 3:33
83,6/22/2018 3:35
70,6/22/2018 3:37
72,6/22/2018 3:39
98,6/22/2018 3:41
89,6/22/2018 3:43
52,6/22/2018 3:45
43,6/22/2018 3:47
68,6/22/2018 3:49
80,6/22/2018 3:51
86,6/22/2018 3:53
83,6/22/2018 3:55
77,6/22/2018 3:57
64,6/22/2018 3:59
74,6/22/2018 4:01
