RadiationLevel,DateTime
67,6/22/2018 0:01
97,6/22/2018 0:03
73,6/22/2018 0:05
62,6/22/2018 0:07
83,6/22/2018 0:09
84,6/22/2018 0:11
90,6/22/2018 0:13
64,6/22/2018 0:15
69,6/22/2018 0:17
78,6/22/2018 0:19
93,6/22/2018 0:21
82,6/22/2018 0:23
74,6/22/2018 0:25
79,6/22/2018 0:27
85,6/22/2018 0:29
58,6/22/2018 0:31
75,6/22/2018 0:33
73,6/22/2018 0:35
70,6/22/2018 0:37
43,6/22/2018 0:39
91,6/22/2018 0:41
92,6/22/2018 0:43
90,6/22/2018 0:45
90,6/22/2018 0:47
104,6/22/2018 0:49
86,6/22/2018 0:51
107,6/22/2018 0:53
82,6/22/2018 0:55
71,6/22/2018 0:57
95,6/22/2018 0:59
89,6/22/2018 1:01
87,6/22/2018 1:03
82,6/22/2018 1:05
100,6/22/2018 1:07
70,6/22/2018 1:09
97,6/22/2018 1:11
98,6/22/2018 1:13
67,6/22/2018 1:15
103,6/22/2018 1:17
87,6/22/2018 1:19
68,6/22/2018 1:21
74,6/22/2018 1:23
55,6/22/2018 1:25
81,6/22/2018 1:27
72,6/22/2018 1:29
75,6/22/2018 1:31
75,6/22/2018 1:33
97,6/22/2018 1:35
67,6/22/2018 1:37
91,6/22/2018 1:39
73,6/22/2018 1:41
85,6/22/2018 1:43
67,6/22/2018 1:45
78,6/22/2018 1:47
66,6/22/2018 1:49
81,6/22/2018 1:51
106,6/22/2018 1:53
82,6/22/2018 1:55
86,6/22/2018 1:57
74,6/22/2018 1:59
79,6/22/2018 2:01
94,6/22/2018 2:03
75,6/22/2018 2:05
71,6/22/2018 2:07
104,6/22/2018 2:09
101,6/22/2018 2:11
88,6/22/2018 2:13
76,6/22/2018 2:15
75,6/22/2018 2:17
66,6/22/2018 2:19
76,6/22/2018 2:21
80,6/22/2018 2:23
78,6/22/2018 2:25
91,6/22/2018 2:27
61,6/22/2018 2:29
77,6/22/2018 2:31
66,6/22/2018 2:33
87,6/22/2018 2:35
85,6/22/2018 2:37
86,6/22/2018 2:39
85,6/22/2018 2:41
96,6/22/2018 2:43
86,6/22/2018 2:45
81,6/22/2018 2:47
105,6/22/2018 2:49
125,6/22/2018 2:51
96,6/22/2018 2:53
94,6/22/2018 2:55
109,6/22/2018 2:57
97,6/22/2018 2:59
98,6/22/2018 3:01
93,6/22/2018 3:03
90,6/22/2018 3:05
89,6/22/2018 3:07
72,6/22/2018 3:09
83,6/22/2018 3:11
96,6/22/2018 3:13
93,6/22/2018 3:15
88,6/22/2018 3:17
81,6/22/2018 3:19
67,6/22/2018 3:21
75,6/22/2018 3:23
113,6/22/2018 3:25
103,6/22/2018 3:27
103,6/22/2018 3:29
112,6/22/2018 3:31
91,6/22/2018 3:33
99,6/22/2018 3:35
141,6/22/2018 3:37
108,6/22/2018 3:39
130,6/22/2018 3:41
176,6/22/2018 3:43
143,6/22/2018 3:45
172,6/22/2018 3:47
207,6/22/2018 3:49
221,6/22/2018 3:51
192,6/22/2018 3:53
139,6/22/2018 3:55
178,6/22/2018 3:57
233,6/22/2018 3:59
283,6/22/2018 4:01
313,6/22/2018 4:03
295,6/22/2018 4:05
673,6/22/2018 4:07
626,6/22/2018 4:09
426,6/22/2018 4:11
679,6/22/2018 4:13
426,6/22/2018 4:15
372,6/22/2018 4:17
442,6/22/2018 4:19
441,6/22/2018 4:21
280,6/22/2018 4:23
346,6/22/2018 4:25
448,6/22/2018 4:27
425,6/22/2018 4:29
279,6/22/2018 4:31
234,6/22/2018 4:33
283,6/22/2018 4:35
334,6/22/2018 4:37
289,6/22/2018 4:39
293,6/22/2018 4:41
298,6/22/2018 4:43
364,6/22/2018 4:45
453,6/22/2018 4:47
638,6/22/2018 4:49
764,6/22/2018 4:51
920,6/22/2018 4:53
798,6/22/2018 4:55
619,6/22/2018 4:57
506,6/22/2018 4:59
295,6/22/2018 5:01
205,6/22/2018 5:03
137,6/22/2018 5:05
141,6/22/2018 5:07
116,6/22/2018 5:09
99,6/22/2018 5:11
90,6/22/2018 5:13
81,6/22/2018 5:15
84,6/22/2018 5:17
95,6/22/2018 5:19
92,6/22/2018 5:21
63,6/22/2018 5:23
96,6/22/2018 5:25
76,6/22/2018 5:27
91,6/22/2018 5:29
72,6/22/2018 5:31
87,6/22/2018 5:33
78,6/22/2018 5:35
70,6/22/2018 5:37
68,6/22/2018 5:39
77,6/22/2018 5:41
103,6/22/2018 5:43
86,6/22/2018 5:45
70,6/22/2018 5:47
94,6/22/2018 5:49
81,6/22/2018 5:51
76,6/22/2018 5:53
58,6/22/2018 5:55
85,6/22/2018 5:57
71,6/22/2018 5:59
83,6/22/2018 6:01
108,6/22/2018 6:03
85,6/22/2018 6:05
91,6/22/2018 6:07
84,6/22/2018 6:09
83,6/22/2018 6:11
78,6/22/2018 6:13
93,6/22/2018 6:15
97,6/22/2018 6:17
80,6/22/2018 6:19
72,6/22/2018 6:21
99,6/22/2018 6:23
70,6/22/2018 6:25
96,6/22/2018 6:27
74,6/22/2018 6:29
93,6/22/2018 6:31
79,6/22/2018 6:33
75,6/22/2018 6:35
86,6/22/2018 6:37
100,6/22/2018 6:39
88,6/22/2018 6:41
71,6/22/2018 6:43
82,6/22/2018 6:45
56,6/22/2018 6:47
119,6/22/2018 6:49
86,6/22/2018 6:51
79,6/22/2018 6:53
69,6/22/2018 6:55
87,6/22/2018 6:57
83,6/22/2018 6:59
99,6/22/2018 7:01
95,6/22/2018 7:03
63,6/22/2018 7:05
85,6/22/2018 7:07
105,6/22/2018 7:09
84,6/22/2018 7:11
94,6/22/2018 7:13
71,6/22/2018 7:15
84,6/22/2018 7:17
96,6/22/2018 7:19
95,6/22/2018 7:21
86,6/22/2018 7:23
74,6/22/2018 7:25
79,6/22/2018 7:27
89,6/22/2018 7:29
88,6/22/2018 7:31
94,6/22/2018 7:33
66,6/22/2018 7:35
63,6/22/2018 7:37
93,6/22/2018 7:39
88,6/22/2018 7:41
105,6/22/2018 7:43
93,6/22/2018 7:45
82,6/22/2018 7:47
92,6/22/2018 7:49
82,6/22/2018 7:51
60,6/22/2018 7:53
84,6/22/2018 7:55
74,6/22/2018 7:57
99,6/22/2018 7:59
105,6/22/2018 8:01
