RadiationLevel,DateTime
89,6/22/2018 0:00
64,6/22/2018 0:02
91,6/22/2018 0:04
75,6/22/2018 0:06
98,6/22/2018 0:08
79,6/22/2018 0:10
69,6/22/2018 0:12
81,6/22/2018 0:14
69,6/22/2018 0:16
73,6/22/2018 0:18
66,6/22/2018 0:20
72,6/22/2018 0:22
75,6/22/2018 0:24
78,6/22/2018 0:26
67,6/22/2018 0:28
72,6/22/2018 0:30
68,6/22/2018 0:32
73,6/22/2018 0:34
56,6/22/2018 0:36
85,6/22/2018 0:38
85,6/22/2018 0:40
77,6/22/2018 0:42
77,6/22/2018 0:44
72,6/22/2018 0:46
85,6/22/2018 0:48
73,6/22/2018 0:50
67,6/22/2018 0:52
89,6/22/2018 0:54
75,6/22/2018 0:56
70,6/22/2018 0:58
71,6/22/2018 1:00
86,6/22/2018 1:02
69,6/22/2018 1:04
73,6/22/2018 1:06
66,6/22/2018 1:08
71,6/22/2018 1:10
72,6/22/2018 1:12
68,6/22/2018 1:14
78,6/22/2018 1:16
74,6/22/2018 1:18
67,6/22/2018 1:20
83,6/22/2018 1:22
90,6/22/2018 1:24
69,6/22/2018 1:26
78,6/22/2018 1:28
57,6/22/2018 1:30
68,6/22/2018 1:32
74,6/22/2018 1:34
68,6/22/2018 1:36
61,6/22/2018 1:38
73,6/22/2018 1:40
56,6/22/2018 1:42
79,6/22/2018 1:44
63,6/22/2018 1:46
84,6/22/2018 1:48
80,6/22/2018 1:50
90,6/22/2018 1:52
75,6/22/2018 1:54
85,6/22/2018 1:56
74,6/22/2018 1:58
72,6/22/2018 2:00
70,6/22/2018 2:02
75,6/22/2018 2:04
62,6/22/2018 2:06
86,6/22/2018 2:08
81,6/22/2018 2:10
68,6/22/2018 2:12
80,6/22/2018 2:14
92,6/22/2018 2:16
68,6/22/2018 2:18
71,6/22/2018 2:20
64,6/22/2018 2:22
73,6/22/2018 2:24
62,6/22/2018 2:26
102,6/22/2018 2:28
81,6/22/2018 2:30
72,6/22/2018 2:32
94,6/22/2018 2:34
65,6/22/2018 2:36
91,6/22/2018 2:38
73,6/22/2018 2:40
77,6/22/2018 2:42
93,6/22/2018 2:44
86,6/22/2018 2:46
83,6/22/2018 2:48
77,6/22/2018 2:50
82,6/22/2018 2:52
80,6/22/2018 2:54
59,6/22/2018 2:56
98,6/22/2018 2:58
91,6/22/2018 3:00
83,6/22/2018 3:02
76,6/22/2018 3:04
69,6/22/2018 3:06
70,6/22/2018 3:08
89,6/22/2018 3:10
75,6/22/2018 3:12
77,6/22/2018 3:14
93,6/22/2018 3:16
90,6/22/2018 3:18
56,6/22/2018 3:20
78,6/22/2018 3:22
89,6/22/2018 3:24
67,6/22/2018 3:26
78,6/22/2018 3:28
69,6/22/2018 3:30
77,6/22/2018 3:32
85,6/22/2018 3:34
100,6/22/2018 3:36
83,6/22/2018 3:38
83,6/22/2018 3:40
82,6/22/2018 3:42
58,6/22/2018 3:44
83,6/22/2018 3:46
86,6/22/2018 3:48
99,6/22/2018 3:50
84,6/22/2018 3:52
65,6/22/2018 3:54
75,6/22/2018 3:56
72,6/22/2018 3:58
81,6/22/2018 4:00
69,6/22/2018 4:02
78,6/22/2018 4:04
75,6/22/2018 4:06
73,6/22/2018 4:08
93,6/22/2018 4:10
71,6/22/2018 4:12
69,6/22/2018 4:14
84,6/22/2018 4:16
75,6/22/2018 4:18
87,6/22/2018 4:20
84,6/22/2018 4:22
68,6/22/2018 4:24
63,6/22/2018 4:26
81,6/22/2018 4:28
83,6/22/2018 4:30
82,6/22/2018 4:32
72,6/22/2018 4:34
78,6/22/2018 4:36
57,6/22/2018 4:38
85,6/22/2018 4:40
90,6/22/2018 4:42
95,6/22/2018 4:44
109,6/22/2018 4:46
76,6/22/2018 4:48
72,6/22/2018 4:50
76,6/22/2018 4:52
98,6/22/2018 4:54
97,6/22/2018 4:56
95,6/22/2018 4:58
172,6/22/2018 5:00
186,6/22/2018 5:02
191,6/22/2018 5:04
160,6/22/2018 5:06
130,6/22/2018 5:08
144,6/22/2018 5:10
132,6/22/2018 5:12
102,6/22/2018 5:14
113,6/22/2018 5:16
111,6/22/2018 5:18
93,6/22/2018 5:20
82,6/22/2018 5:22
90,6/22/2018 5:24
90,6/22/2018 5:26
71,6/22/2018 5:28
102,6/22/2018 5:30
67,6/22/2018 5:32
75,6/22/2018 5:34
74,6/22/2018 5:36
77,6/22/2018 5:38
71,6/22/2018 5:40
84,6/22/2018 5:42
53,6/22/2018 5:44
70,6/22/2018 5:46
107,6/22/2018 5:48
85,6/22/2018 5:50
