RadiationLevel,DateTime
59,6/22/2018 0:00
104,6/22/2018 0:02
80,6/22/2018 0:04
63,6/22/2018 0:06
67,6/22/2018 0:08
86,6/22/2018 0:10
87,6/22/2018 0:12
69,6/22/2018 0:14
37,6/22/2018 0:16
73,6/22/2018 0:18
88,6/22/2018 0:20
70,6/22/2018 0:22
53,6/22/2018 0:24
71,6/22/2018 0:26
89,6/22/2018 0:28
62,6/22/2018 0:30
113,6/22/2018 0:32
81,6/22/2018 0:34
43,6/22/2018 0:36
74,6/22/2018 0:38
81,6/22/2018 0:40
62,6/22/2018 0:42
101,6/22/2018 0:44
82,6/22/2018 0:46
85,6/22/2018 0:48
126,6/22/2018 0:50
84,6/22/2018 0:52
68,6/22/2018 0:54
60,6/22/2018 0:56
93,6/22/2018 0:58
94,6/22/2018 1:00
101,6/22/2018 1:02
80,6/22/2018 1:04
74,6/22/2018 1:06
98,6/22/2018 1:08
83,6/22/2018 1:10
69,6/22/2018 1:12
37,6/22/2018 1:14
82,6/22/2018 1:16
81,6/22/2018 1:18
129,6/22/2018 1:20
94,6/22/2018 1:22
67,6/22/2018 1:24
75,6/22/2018 1:26
93,6/22/2018 1:28
96,6/22/2018 1:30
57,6/22/2018 1:32
74,6/22/2018 1:34
77,6/22/2018 1:36
108,6/22/2018 1:38
106,6/22/2018 1:40
99,6/22/2018 1:42
54,6/22/2018 1:44
54,6/22/2018 1:46
60,6/22/2018 1:48
55,6/22/2018 1:50
107,6/22/2018 1:52
86,6/22/2018 1:54
117,6/22/2018 1:56
63,6/22/2018 1:58
111,6/22/2018 2:00
52,6/22/2018 2:02
82,6/22/2018 2:04
47,6/22/2018 2:06
69,6/22/2018 2:08
99,6/22/2018 2:10
95,6/22/2018 2:12
79,6/22/2018 2:14
87,6/22/2018 2:16
79,6/22/2018 2:18
73,6/22/2018 2:20
113,6/22/2018 2:22
81,6/22/2018 2:24
118,6/22/2018 2:26
80,6/22/2018 2:28
120,6/22/2018 2:30
72,6/22/2018 2:32
122,6/22/2018 2:34
69,6/22/2018 2:36
66,6/22/2018 2:38
81,6/22/2018 2:40
52,6/22/2018 2:42
88,6/22/2018 2:44
41,6/22/2018 2:46
67,6/22/2018 2:48
