RadiationLevel,DateTime
86,6/22/2018 0:00
104,6/22/2018 0:02
85,6/22/2018 0:04
92,6/22/2018 0:06
117,6/22/2018 0:08
99,6/22/2018 0:10
79,6/22/2018 0:12
71,6/22/2018 0:14
94,6/22/2018 0:16
65,6/22/2018 0:18
77,6/22/2018 0:20
55,6/22/2018 0:22
105,6/22/2018 0:24
98,6/22/2018 0:26
100,6/22/2018 0:28
67,6/22/2018 0:30
73,6/22/2018 0:32
71,6/22/2018 0:34
123,6/22/2018 0:36
106,6/22/2018 0:38
80,6/22/2018 0:40
99,6/22/2018 0:42
83,6/22/2018 0:44
74,6/22/2018 0:46
104,6/22/2018 0:48
128,6/22/2018 0:50
69,6/22/2018 0:52
107,6/22/2018 0:54
93,6/22/2018 0:56
68,6/22/2018 0:58
93,6/22/2018 1:00
97,6/22/2018 1:02
89,6/22/2018 1:04
96,6/22/2018 1:06
100,6/22/2018 1:08
88,6/22/2018 1:10
93,6/22/2018 1:12
62,6/22/2018 1:14
81,6/22/2018 1:16
101,6/22/2018 1:18
89,6/22/2018 1:20
71,6/22/2018 1:22
91,6/22/2018 1:24
89,6/22/2018 1:26
73,6/22/2018 1:28
100,6/22/2018 1:30
93,6/22/2018 1:32
104,6/22/2018 1:34
81,6/22/2018 1:36
75,6/22/2018 1:38
98,6/22/2018 1:40
99,6/22/2018 1:42
93,6/22/2018 1:44
61,6/22/2018 1:46
58,6/22/2018 1:48
89,6/22/2018 1:50
120,6/22/2018 1:52
97,6/22/2018 1:54
117,6/22/2018 1:56
61,6/22/2018 1:58
66,6/22/2018 2:00
36,6/22/2018 2:02
104,6/22/2018 2:04
63,6/22/2018 2:06
93,6/22/2018 2:08
76,6/22/2018 2:10
72,6/22/2018 2:12
85,6/22/2018 2:14
105,6/22/2018 2:16
89,6/22/2018 2:18
59,6/22/2018 2:20
74,6/22/2018 2:22
80,6/22/2018 2:24
53,6/22/2018 2:26
79,6/22/2018 2:28
54,6/22/2018 2:30
99,6/22/2018 2:32
88,6/22/2018 2:34
92,6/22/2018 2:36
93,6/22/2018 2:38
77,6/22/2018 2:40
110,6/22/2018 2:42
80,6/22/2018 2:44
