RadiationLevel,DateTime
98,6/22/2018 0:00
88,6/22/2018 0:02
86,6/22/2018 0:04
65,6/22/2018 0:06
46,6/22/2018 0:08
87,6/22/2018 0:10
91,6/22/2018 0:12
93,6/22/2018 0:14
85,6/22/2018 0:16
80,6/22/2018 0:18
70,6/22/2018 0:20
50,6/22/2018 0:22
88,6/22/2018 0:24
104,6/22/2018 0:26
95,6/22/2018 0:28
85,6/22/2018 0:30
118,6/22/2018 0:32
62,6/22/2018 0:34
68,6/22/2018 0:36
97,6/22/2018 0:38
56,6/22/2018 0:40
76,6/22/2018 0:42
77,6/22/2018 0:44
59,6/22/2018 0:46
63,6/22/2018 0:48
68,6/22/2018 0:50
49,6/22/2018 0:52
48,6/22/2018 0:54
88,6/22/2018 0:56
89,6/22/2018 0:58
97,6/22/2018 1:00
79,6/22/2018 1:02
81,6/22/2018 1:04
104,6/22/2018 1:06
115,6/22/2018 1:08
88,6/22/2018 1:10
68,6/22/2018 1:12
98,6/22/2018 1:14
91,6/22/2018 1:16
85,6/22/2018 1:18
87,6/22/2018 1:20
88,6/22/2018 1:22
64,6/22/2018 1:24
91,6/22/2018 1:26
75,6/22/2018 1:28
91,6/22/2018 1:30
83,6/22/2018 1:32
71,6/22/2018 1:34
72,6/22/2018 1:36
114,6/22/2018 1:38
75,6/22/2018 1:40
70,6/22/2018 1:42
109,6/22/2018 1:44
109,6/22/2018 1:46
69,6/22/2018 1:48
55,6/22/2018 1:50
53,6/22/2018 1:52
43,6/22/2018 1:54
92,6/22/2018 1:56
89,6/22/2018 1:58
87,6/22/2018 2:00
59,6/22/2018 2:02
71,6/22/2018 2:04
112,6/22/2018 2:06
62,6/22/2018 2:08
78,6/22/2018 2:10
66,6/22/2018 2:12
64,6/22/2018 2:14
62,6/22/2018 2:16
69,6/22/2018 2:18
81,6/22/2018 2:20
96,6/22/2018 2:22
56,6/22/2018 2:24
81,6/22/2018 2:26
106,6/22/2018 2:28
99,6/22/2018 2:30
120,6/22/2018 2:32
112,6/22/2018 2:34
94,6/22/2018 2:36
44,6/22/2018 2:38
81,6/22/2018 2:40
85,6/22/2018 2:42
110,6/22/2018 2:44
68,6/22/2018 2:46
111,6/22/2018 2:48
87,6/22/2018 2:50
90,6/22/2018 2:52
116,6/22/2018 2:54
88,6/22/2018 2:56
76,6/22/2018 2:58
104,6/22/2018 3:00
72,6/22/2018 3:02
62,6/22/2018 3:04
62,6/22/2018 3:06
63,6/22/2018 3:08
106,6/22/2018 3:10
95,6/22/2018 3:12
95,6/22/2018 3:14
104,6/22/2018 3:16
114,6/22/2018 3:18
83,6/22/2018 3:20
56,6/22/2018 3:22
83,6/22/2018 3:24
54,6/22/2018 3:26
92,6/22/2018 3:28
115,6/22/2018 3:30
96,6/22/2018 3:32
81,6/22/2018 3:34
66,6/22/2018 3:36
42,6/22/2018 3:38
84,6/22/2018 3:40
75,6/22/2018 3:42
97,6/22/2018 3:44
33,6/22/2018 3:46
92,6/22/2018 3:48
105,6/22/2018 3:50
103,6/22/2018 3:52
64,6/22/2018 3:54
71,6/22/2018 3:56
103,6/22/2018 3:58
91,6/22/2018 4:00
72,6/22/2018 4:02
49,6/22/2018 4:04
59,6/22/2018 4:06
65,6/22/2018 4:08
76,6/22/2018 4:10
129,6/22/2018 4:12
87,6/22/2018 4:14
63,6/22/2018 4:16
47,6/22/2018 4:18
94,6/22/2018 4:20
66,6/22/2018 4:22
98,6/22/2018 4:24
99,6/22/2018 4:26
91,6/22/2018 4:28
96,6/22/2018 4:30
100,6/22/2018 4:32
86,6/22/2018 4:34
63,6/22/2018 4:36
57,6/22/2018 4:38
67,6/22/2018 4:40
84,6/22/2018 4:42
74,6/22/2018 4:44
109,6/22/2018 4:46
59,6/22/2018 4:48
69,6/22/2018 4:50
53,6/22/2018 4:52
87,6/22/2018 4:54
75,6/22/2018 4:56
134,6/22/2018 4:58
104,6/22/2018 5:00
52,6/22/2018 5:02
70,6/22/2018 5:04
80,6/22/2018 5:06
111,6/22/2018 5:08
121,6/22/2018 5:10
136,6/22/2018 5:12
168,6/22/2018 5:14
