RadiationLevel,DateTime
101,6/22/2018 0:01
60,6/22/2018 0:03
111,6/22/2018 0:05
88,6/22/2018 0:07
96,6/22/2018 0:09
61,6/22/2018 0:11
106,6/22/2018 0:13
76,6/22/2018 0:15
100,6/22/2018 0:17
92,6/22/2018 0:19
96,6/22/2018 0:21
72,6/22/2018 0:23
65,6/22/2018 0:25
63,6/22/2018 0:27
74,6/22/2018 0:29
102,6/22/2018 0:31
108,6/22/2018 0:33
68,6/22/2018 0:35
68,6/22/2018 0:37
84,6/22/2018 0:39
73,6/22/2018 0:41
78,6/22/2018 0:43
113,6/22/2018 0:45
104,6/22/2018 0:47
54,6/22/2018 0:49
130,6/22/2018 0:51
124,6/22/2018 0:53
79,6/22/2018 0:55
65,6/22/2018 0:57
105,6/22/2018 0:59
87,6/22/2018 1:01
44,6/22/2018 1:03
53,6/22/2018 1:05
117,6/22/2018 1:07
54,6/22/2018 1:09
102,6/22/2018 1:11
136,6/22/2018 1:13
58,6/22/2018 1:15
78,6/22/2018 1:17
114,6/22/2018 1:19
108,6/22/2018 1:21
75,6/22/2018 1:23
72,6/22/2018 1:25
96,6/22/2018 1:27
89,6/22/2018 1:29
104,6/22/2018 1:31
83,6/22/2018 1:33
70,6/22/2018 1:35
94,6/22/2018 1:37
107,6/22/2018 1:39
53,6/22/2018 1:41
72,6/22/2018 1:43
109,6/22/2018 1:45
50,6/22/2018 1:47
91,6/22/2018 1:49
90,6/22/2018 1:51
87,6/22/2018 1:53
99,6/22/2018 1:55
89,6/22/2018 1:57
35,6/22/2018 1:59
81,6/22/2018 2:01
84,6/22/2018 2:03
90,6/22/2018 2:05
75,6/22/2018 2:07
101,6/22/2018 2:09
54,6/22/2018 2:11
110,6/22/2018 2:13
97,6/22/2018 2:15
85,6/22/2018 2:17
74,6/22/2018 2:19
99,6/22/2018 2:21
84,6/22/2018 2:23
90,6/22/2018 2:25
95,6/22/2018 2:27
67,6/22/2018 2:29
126,6/22/2018 2:31
103,6/22/2018 2:33
72,6/22/2018 2:35
107,6/22/2018 2:37
60,6/22/2018 2:39
88,6/22/2018 2:41
132,6/22/2018 2:43
75,6/22/2018 2:45
127,6/22/2018 2:47
69,6/22/2018 2:49
84,6/22/2018 2:51
84,6/22/2018 2:53
93,6/22/2018 2:55
93,6/22/2018 2:57
98,6/22/2018 2:59
98,6/22/2018 3:01
101,6/22/2018 3:03
102,6/22/2018 3:05
108,6/22/2018 3:07
114,6/22/2018 3:09
91,6/22/2018 3:11
61,6/22/2018 3:13
90,6/22/2018 3:15
72,6/22/2018 3:17
97,6/22/2018 3:19
89,6/22/2018 3:21
83,6/22/2018 3:23
155,6/22/2018 3:25
63,6/22/2018 3:27
95,6/22/2018 3:29
94,6/22/2018 3:31
92,6/22/2018 3:33
110,6/22/2018 3:35
92,6/22/2018 3:37
78,6/22/2018 3:39
77,6/22/2018 3:41
52,6/22/2018 3:43
89,6/22/2018 3:45
87,6/22/2018 3:47
89,6/22/2018 3:49
72,6/22/2018 3:51
67,6/22/2018 3:53
52,6/22/2018 3:55
83,6/22/2018 3:57
92,6/22/2018 3:59
92,6/22/2018 3:59
48,6/22/2018 4:01
62,6/22/2018 4:03
109,6/22/2018 4:05
85,6/22/2018 4:07
109,6/22/2018 4:09
102,6/22/2018 4:11
54,6/22/2018 4:13
39,6/22/2018 4:15
86,6/22/2018 4:17
95,6/22/2018 4:19
112,6/22/2018 4:21
94,6/22/2018 4:23
70,6/22/2018 4:25
48,6/22/2018 4:27
50,6/22/2018 4:29
96,6/22/2018 4:31
79,6/22/2018 4:33
93,6/22/2018 4:35
112,6/22/2018 4:37
73,6/22/2018 4:39
65,6/22/2018 4:41
80,6/22/2018 4:43
86,6/22/2018 4:45
102,6/22/2018 4:47
81,6/22/2018 4:49
101,6/22/2018 4:51
72,6/22/2018 4:53
113,6/22/2018 4:55
59,6/22/2018 4:57
84,6/22/2018 4:59
107,6/22/2018 5:01
93,6/22/2018 5:03
