RadiationLevel,DateTime
64,6/22/2018 0:00
57,6/22/2018 0:02
75,6/22/2018 0:04
50,6/22/2018 0:06
90,6/22/2018 0:08
81,6/22/2018 0:10
68,6/22/2018 0:12
41,6/22/2018 0:14
49,6/22/2018 0:16
73,6/22/2018 0:18
56,6/22/2018 0:20
47,6/22/2018 0:22
114,6/22/2018 0:24
68,6/22/2018 0:26
67,6/22/2018 0:28
76,6/22/2018 0:30
75,6/22/2018 0:32
65,6/22/2018 0:34
69,6/22/2018 0:36
85,6/22/2018 0:38
120,6/22/2018 0:40
84,6/22/2018 0:42
99,6/22/2018 0:44
85,6/22/2018 0:46
64,6/22/2018 0:48
36,6/22/2018 0:50
52,6/22/2018 0:52
74,6/22/2018 0:54
74,6/22/2018 0:56
82,6/22/2018 0:58
82,6/22/2018 1:00
99,6/22/2018 1:02
93,6/22/2018 1:04
61,6/22/2018 1:06
97,6/22/2018 1:08
58,6/22/2018 1:10
84,6/22/2018 1:12
100,6/22/2018 1:14
58,6/22/2018 1:16
56,6/22/2018 1:18
83,6/22/2018 1:20
74,6/22/2018 1:22
52,6/22/2018 1:24
56,6/22/2018 1:26
61,6/22/2018 1:28
97,6/22/2018 1:30
64,6/22/2018 1:32
83,6/22/2018 1:34
43,6/22/2018 1:36
81,6/22/2018 1:38
82,6/22/2018 1:40
82,6/22/2018 1:40
59,6/22/2018 1:42
93,6/22/2018 1:44
52,6/22/2018 1:46
102,6/22/2018 1:48
43,6/22/2018 1:50
66,6/22/2018 1:52
90,6/22/2018 1:54
57,6/22/2018 1:56
81,6/22/2018 1:58
68,6/22/2018 2:00
75,6/22/2018 2:02
64,6/22/2018 2:04
72,6/22/2018 2:06
95,6/22/2018 2:08
47,6/22/2018 2:10
93,6/22/2018 2:12
112,6/22/2018 2:14
59,6/22/2018 2:16
66,6/22/2018 2:18
90,6/22/2018 2:20
45,6/22/2018 2:22
55,6/22/2018 2:24
49,6/22/2018 2:26
75,6/22/2018 2:28
81,6/22/2018 2:30
87,6/22/2018 2:32
75,6/22/2018 2:34
