RadiationLevel,DateTime
77,6/22/2018 0:01
67,6/22/2018 0:03
104,6/22/2018 0:05
58,6/22/2018 0:07
105,6/22/2018 0:09
65,6/22/2018 0:11
65,6/22/2018 0:13
58,6/22/2018 0:15
89,6/22/2018 0:17
126,6/22/2018 0:19
84,6/22/2018 0:21
86,6/22/2018 0:23
55,6/22/2018 0:25
95,6/22/2018 0:27
30,6/22/2018 0:29
73,6/22/2018 0:31
73,6/22/2018 0:33
95,6/22/2018 0:35
64,6/22/2018 0:37
70,6/22/2018 0:39
66,6/22/2018 0:41
83,6/22/2018 0:43
50,6/22/2018 0:45
117,6/22/2018 0:47
79,6/22/2018 0:49
87,6/22/2018 0:51
57,6/22/2018 0:53
107,6/22/2018 0:55
98,6/22/2018 0:57
110,6/22/2018 0:59
67,6/22/2018 1:01
39,6/22/2018 1:03
76,6/22/2018 1:05
123,6/22/2018 1:07
79,6/22/2018 1:09
85,6/22/2018 1:11
107,6/22/2018 1:13
100,6/22/2018 1:15
73,6/22/2018 1:17
79,6/22/2018 1:19
72,6/22/2018 1:21
94,6/22/2018 1:23
105,6/22/2018 1:25
99,6/22/2018 1:27
101,6/22/2018 1:29
76,6/22/2018 1:31
70,6/22/2018 1:33
78,6/22/2018 1:35
74,6/22/2018 1:37
70,6/22/2018 1:39
74,6/22/2018 1:41
101,6/22/2018 1:43
86,6/22/2018 1:45
55,6/22/2018 1:47
90,6/22/2018 1:49
81,6/22/2018 1:51
82,6/22/2018 1:53
81,6/22/2018 1:55
94,6/22/2018 1:57
95,6/22/2018 1:59
97,6/22/2018 2:01
113,6/22/2018 2:03
82,6/22/2018 2:05
105,6/22/2018 2:07
141,6/22/2018 2:09
95,6/22/2018 2:11
119,6/22/2018 2:13
127,6/22/2018 2:15
101,6/22/2018 2:17
125,6/22/2018 2:19
123,6/22/2018 2:21
208,6/22/2018 2:23
147,6/22/2018 2:25
132,6/22/2018 2:27
124,6/22/2018 2:29
87,6/22/2018 2:31
139,6/22/2018 2:33
105,6/22/2018 2:35
80,6/22/2018 2:37
72,6/22/2018 2:39
84,6/22/2018 2:41
72,6/22/2018 2:43
116,6/22/2018 2:45
85,6/22/2018 2:47
70,6/22/2018 2:49
69,6/22/2018 2:51
76,6/22/2018 2:53
52,6/22/2018 2:55
70,6/22/2018 2:57
88,6/22/2018 2:59
117,6/22/2018 3:01
80,6/22/2018 3:03
98,6/22/2018 3:05
92,6/22/2018 3:07
80,6/22/2018 3:09
108,6/22/2018 3:11
85,6/22/2018 3:13
114,6/22/2018 3:15
94,6/22/2018 3:17
94,6/22/2018 3:19
82,6/22/2018 3:21
112,6/22/2018 3:23
171,6/22/2018 3:25
101,6/22/2018 3:27
38,6/22/2018 3:29
87,6/22/2018 3:31
74,6/22/2018 3:33
135,6/22/2018 3:35
112,6/22/2018 3:37
115,6/22/2018 3:39
56,6/22/2018 3:41
140,6/22/2018 3:43
123,6/22/2018 3:45
86,6/22/2018 3:47
72,6/22/2018 3:49
105,6/22/2018 3:51
130,6/22/2018 3:53
109,6/22/2018 3:55
142,6/22/2018 3:57
125,6/22/2018 3:59
124,6/22/2018 4:01
117,6/22/2018 4:03
70,6/22/2018 4:05
80,6/22/2018 4:07
73,6/22/2018 4:09
79,6/22/2018 4:11
91,6/22/2018 4:13
86,6/22/2018 4:15
81,6/22/2018 4:17
105,6/22/2018 4:19
97,6/22/2018 4:21
106,6/22/2018 4:23
86,6/22/2018 4:25
96,6/22/2018 4:27
134,6/22/2018 4:29
88,6/22/2018 4:31
100,6/22/2018 4:33
92,6/22/2018 4:35
91,6/22/2018 4:37
138,6/22/2018 4:39
113,6/22/2018 4:41
151,6/22/2018 4:43
149,6/22/2018 4:45
94,6/22/2018 4:47
106,6/22/2018 4:49
73,6/22/2018 4:51
149,6/22/2018 4:53
172,6/22/2018 4:55
212,6/22/2018 4:57
265,6/22/2018 4:59
221,6/22/2018 5:01
189,6/22/2018 5:03
169,6/22/2018 5:05
175,6/22/2018 5:07
159,6/22/2018 5:09
117,6/22/2018 5:11
182,6/22/2018 5:13
134,6/22/2018 5:15
102,6/22/2018 5:17
178,6/22/2018 5:19
156,6/22/2018 5:21
96,6/22/2018 5:23
132,6/22/2018 5:25
91,6/22/2018 5:27
155,6/22/2018 5:29
162,6/22/2018 5:31
115,6/22/2018 5:33
111,6/22/2018 5:35
110,6/22/2018 5:37
99,6/22/2018 5:39
102,6/22/2018 5:41
131,6/22/2018 5:43
130,6/22/2018 5:45
108,6/22/2018 5:47
148,6/22/2018 5:49
141,6/22/2018 5:51
110,6/22/2018 5:53
99,6/22/2018 5:55
139,6/22/2018 5:57
330,6/22/2018 5:59
303,6/22/2018 6:01
208,6/22/2018 6:03
226,6/22/2018 6:05
149,6/22/2018 6:07
131,6/22/2018 6:09
172,6/22/2018 6:11
183,6/22/2018 6:13
130,6/22/2018 6:15
207,6/22/2018 6:17
116,6/22/2018 6:19
97,6/22/2018 6:21
97,6/22/2018 6:23
115,6/22/2018 6:25
72,6/22/2018 6:27
58,6/22/2018 6:29
94,6/22/2018 6:31
89,6/22/2018 6:33
50,6/22/2018 6:35
84,6/22/2018 6:37
145,6/22/2018 6:39
141,6/22/2018 6:41
90,6/22/2018 6:43
94,6/22/2018 6:45
140,6/22/2018 6:47
157,6/22/2018 6:49
163,6/22/2018 6:51
115,6/22/2018 6:53
97,6/22/2018 6:55
100,6/22/2018 6:57
108,6/22/2018 6:59
102,6/22/2018 7:01
90,6/22/2018 7:03
128,6/22/2018 7:05
178,6/22/2018 7:07
191,6/22/2018 7:09
241,6/22/2018 7:11
158,6/22/2018 7:13
112,6/22/2018 7:15
117,6/22/2018 7:17
113,6/22/2018 7:19
143,6/22/2018 7:21
82,6/22/2018 7:23
166,6/22/2018 7:25
126,6/22/2018 7:27
77,6/22/2018 7:29
106,6/22/2018 7:31
116,6/22/2018 7:33
196,6/22/2018 7:35
233,6/22/2018 7:37
248,6/22/2018 7:39
186,6/22/2018 7:41
213,6/22/2018 7:43
161,6/22/2018 7:45
166,6/22/2018 7:47
204,6/22/2018 7:49
203,6/22/2018 7:51
181,6/22/2018 7:53
111,6/22/2018 7:55
140,6/22/2018 7:57
132,6/22/2018 7:59
163,6/22/2018 8:01
160,6/22/2018 8:03
322,6/22/2018 8:05
192,6/22/2018 8:07
116,6/22/2018 8:09
167,6/22/2018 8:11
127,6/22/2018 8:13
130,6/22/2018 8:15
124,6/22/2018 8:17
134,6/22/2018 8:19
156,6/22/2018 8:21
168,6/22/2018 8:23
123,6/22/2018 8:25
142,6/22/2018 8:27
133,6/22/2018 8:29
138,6/22/2018 8:31
325,6/22/2018 8:33
276,6/22/2018 8:35
147,6/22/2018 8:37
168,6/22/2018 8:39
111,6/22/2018 8:41
111,6/22/2018 8:43
151,6/22/2018 8:45
247,6/22/2018 8:47
226,6/22/2018 8:49
163,6/22/2018 8:51
174,6/22/2018 8:53
159,6/22/2018 8:55
113,6/22/2018 8:57
217,6/22/2018 8:59
125,6/22/2018 9:01
143,6/22/2018 9:03
102,6/22/2018 9:05
139,6/22/2018 9:07
123,6/22/2018 9:09
134,6/22/2018 9:11
119,6/22/2018 9:13
147,6/22/2018 9:15
141,6/22/2018 9:17
156,6/22/2018 9:19
127,6/22/2018 9:21
154,6/22/2018 9:23
150,6/22/2018 9:25
130,6/22/2018 9:27
154,6/22/2018 9:29
149,6/22/2018 9:31
129,6/22/2018 9:33
155,6/22/2018 9:35
105,6/22/2018 9:37
192,6/22/2018 9:39
134,6/22/2018 9:41
119,6/22/2018 9:43
176,6/22/2018 9:45
164,6/22/2018 9:47
205,6/22/2018 9:49
190,6/22/2018 9:51
145,6/22/2018 9:53
143,6/22/2018 9:55
124,6/22/2018 9:57
165,6/22/2018 9:59
224,6/22/2018 10:01
127,6/22/2018 10:03
126,6/22/2018 10:05
166,6/22/2018 10:07
134,6/22/2018 10:09
155,6/22/2018 10:11
181,6/22/2018 10:13
171,6/22/2018 10:15
166,6/22/2018 10:17
163,6/22/2018 10:19
182,6/22/2018 10:21
96,6/22/2018 10:23
141,6/22/2018 10:25
121,6/22/2018 10:27
133,6/22/2018 10:29
106,6/22/2018 10:31
176,6/22/2018 10:33
127,6/22/2018 10:35
93,6/22/2018 10:37
115,6/22/2018 10:39
39,6/22/2018 10:41
92,6/22/2018 10:43
122,6/22/2018 10:45
119,6/22/2018 10:47
120,6/22/2018 10:49
129,6/22/2018 10:51
109,6/22/2018 10:53
118,6/22/2018 10:55
159,6/22/2018 10:57
138,6/22/2018 10:59
105,6/22/2018 11:01
160,6/22/2018 11:03
115,6/22/2018 11:05
130,6/22/2018 11:07
147,6/22/2018 11:09
88,6/22/2018 11:11
157,6/22/2018 11:13
91,6/22/2018 11:15
102,6/22/2018 11:17
136,6/22/2018 11:19
111,6/22/2018 11:21
91,6/22/2018 11:23
132,6/22/2018 11:25
163,6/22/2018 11:27
101,6/22/2018 11:29
116,6/22/2018 11:31
97,6/22/2018 11:33
195,6/22/2018 11:35
119,6/22/2018 11:37
136,6/22/2018 11:39
243,6/22/2018 11:41
162,6/22/2018 11:43
233,6/22/2018 11:45
223,6/22/2018 11:47
145,6/22/2018 11:49
147,6/22/2018 11:51
118,6/22/2018 11:53
95,6/22/2018 11:55
138,6/22/2018 11:57
213,6/22/2018 11:59
