RadiationLevel,DateTime
64,6/22/2018 0:00
125,6/22/2018 0:02
112,6/22/2018 0:04
106,6/22/2018 0:06
76,6/22/2018 0:08
82,6/22/2018 0:10
89,6/22/2018 0:12
110,6/22/2018 0:14
98,6/22/2018 0:16
69,6/22/2018 0:18
84,6/22/2018 0:20
80,6/22/2018 0:22
140,6/22/2018 0:24
76,6/22/2018 0:26
69,6/22/2018 0:28
166,6/22/2018 0:30
63,6/22/2018 0:32
74,6/22/2018 0:34
86,6/22/2018 0:36
79,6/22/2018 0:38
110,6/22/2018 0:40
78,6/22/2018 0:42
95,6/22/2018 0:44
93,6/22/2018 0:46
81,6/22/2018 0:48
79,6/22/2018 0:50
95,6/22/2018 0:52
90,6/22/2018 0:54
95,6/22/2018 0:56
86,6/22/2018 0:58
109,6/22/2018 1:00
39,6/22/2018 1:02
49,6/22/2018 1:04
114,6/22/2018 1:06
123,6/22/2018 1:08
99,6/22/2018 1:10
87,6/22/2018 1:12
84,6/22/2018 1:14
75,6/22/2018 1:16
123,6/22/2018 1:18
87,6/22/2018 1:20
81,6/22/2018 1:22
94,6/22/2018 1:24
98,6/22/2018 1:26
80,6/22/2018 1:28
107,6/22/2018 1:30
97,6/22/2018 1:32
83,6/22/2018 1:34
103,6/22/2018 1:36
61,6/22/2018 1:38
92,6/22/2018 1:40
80,6/22/2018 1:42
119,6/22/2018 1:44
97,6/22/2018 1:46
72,6/22/2018 1:48
108,6/22/2018 1:50
78,6/22/2018 1:52
70,6/22/2018 1:54
106,6/22/2018 1:56
77,6/22/2018 1:58
108,6/22/2018 2:00
66,6/22/2018 2:02
81,6/22/2018 2:04
109,6/22/2018 2:06
118,6/22/2018 2:08
104,6/22/2018 2:10
80,6/22/2018 2:12
169,6/22/2018 2:14
83,6/22/2018 2:16
118,6/22/2018 2:18
127,6/22/2018 2:20
160,6/22/2018 2:22
181,6/22/2018 2:24
161,6/22/2018 2:26
136,6/22/2018 2:28
147,6/22/2018 2:30
129,6/22/2018 2:32
113,6/22/2018 2:34
85,6/22/2018 2:36
83,6/22/2018 2:38
126,6/22/2018 2:40
90,6/22/2018 2:42
83,6/22/2018 2:44
134,6/22/2018 2:46
88,6/22/2018 2:48
140,6/22/2018 2:50
63,6/22/2018 2:52
107,6/22/2018 2:54
67,6/22/2018 2:56
86,6/22/2018 2:58
89,6/22/2018 3:00
99,6/22/2018 3:02
132,6/22/2018 3:04
130,6/22/2018 3:06
73,6/22/2018 3:08
136,6/22/2018 3:10
99,6/22/2018 3:12
141,6/22/2018 3:14
123,6/22/2018 3:16
102,6/22/2018 3:18
113,6/22/2018 3:20
179,6/22/2018 3:22
144,6/22/2018 3:24
172,6/22/2018 3:26
139,6/22/2018 3:28
91,6/22/2018 3:30
87,6/22/2018 3:32
119,6/22/2018 3:34
113,6/22/2018 3:36
94,6/22/2018 3:38
82,6/22/2018 3:40
77,6/22/2018 3:42
35,6/22/2018 3:44
80,6/22/2018 3:46
68,6/22/2018 3:48
90,6/22/2018 3:50
72,6/22/2018 3:52
105,6/22/2018 3:54
82,6/22/2018 3:56
95,6/22/2018 3:58
107,6/22/2018 4:00
81,6/22/2018 4:02
69,6/22/2018 4:04
69,6/22/2018 4:06
93,6/22/2018 4:08
80,6/22/2018 4:10
76,6/22/2018 4:12
101,6/22/2018 4:14
52,6/22/2018 4:16
72,6/22/2018 4:18
92,6/22/2018 4:20
82,6/22/2018 4:22
80,6/22/2018 4:24
91,6/22/2018 4:26
81,6/22/2018 4:28
91,6/22/2018 4:30
66,6/22/2018 4:32
92,6/22/2018 4:34
54,6/22/2018 4:36
116,6/22/2018 4:38
95,6/22/2018 4:40
97,6/22/2018 4:42
111,6/22/2018 4:44
58,6/22/2018 4:46
76,6/22/2018 4:48
82,6/22/2018 4:50
159,6/22/2018 4:52
109,6/22/2018 4:54
115,6/22/2018 4:56
112,6/22/2018 4:58
136,6/22/2018 5:00
230,6/22/2018 5:02
311,6/22/2018 5:04
344,6/22/2018 5:06
228,6/22/2018 5:08
249,6/22/2018 5:10
205,6/22/2018 5:12
188,6/22/2018 5:14
172,6/22/2018 5:16
164,6/22/2018 5:18
183,6/22/2018 5:20
169,6/22/2018 5:22
202,6/22/2018 5:24
178,6/22/2018 5:26
118,6/22/2018 5:28
169,6/22/2018 5:30
98,6/22/2018 5:32
93,6/22/2018 5:34
118,6/22/2018 5:36
82,6/22/2018 5:38
124,6/22/2018 5:40
156,6/22/2018 5:42
85,6/22/2018 5:44
141,6/22/2018 5:46
126,6/22/2018 5:48
124,6/22/2018 5:50
88,6/22/2018 5:52
187,6/22/2018 5:54
172,6/22/2018 5:56
129,6/22/2018 5:58
243,6/22/2018 6:00
160,6/22/2018 6:02
161,6/22/2018 6:04
144,6/22/2018 6:06
122,6/22/2018 6:08
145,6/22/2018 6:10
149,6/22/2018 6:12
64,6/22/2018 6:14
157,6/22/2018 6:16
144,6/22/2018 6:18
183,6/22/2018 6:20
200,6/22/2018 6:22
89,6/22/2018 6:24
148,6/22/2018 6:26
116,6/22/2018 6:28
83,6/22/2018 6:30
110,6/22/2018 6:32
119,6/22/2018 6:34
78,6/22/2018 6:36
100,6/22/2018 6:38
88,6/22/2018 6:40
77,6/22/2018 6:42
108,6/22/2018 6:44
63,6/22/2018 6:46
117,6/22/2018 6:48
131,6/22/2018 6:50
79,6/22/2018 6:52
147,6/22/2018 6:54
129,6/22/2018 6:56
94,6/22/2018 6:58
117,6/22/2018 7:00
105,6/22/2018 7:02
48,6/22/2018 7:04
52,6/22/2018 7:06
101,6/22/2018 7:08
114,6/22/2018 7:10
94,6/22/2018 7:12
91,6/22/2018 7:14
69,6/22/2018 7:16
102,6/22/2018 7:18
138,6/22/2018 7:20
79,6/22/2018 7:22
80,6/22/2018 7:24
89,6/22/2018 7:26
122,6/22/2018 7:28
66,6/22/2018 7:30
58,6/22/2018 7:32
78,6/22/2018 7:34
99,6/22/2018 7:36
119,6/22/2018 7:38
100,6/22/2018 7:40
116,6/22/2018 7:42
114,6/22/2018 7:44
116,6/22/2018 7:46
122,6/22/2018 7:48
105,6/22/2018 7:50
116,6/22/2018 7:52
146,6/22/2018 7:54
140,6/22/2018 7:56
105,6/22/2018 7:58
81,6/22/2018 8:00
217,6/22/2018 8:02
175,6/22/2018 8:04
180,6/22/2018 8:06
212,6/22/2018 8:08
172,6/22/2018 8:10
163,6/22/2018 8:12
162,6/22/2018 8:14
116,6/22/2018 8:16
78,6/22/2018 8:18
121,6/22/2018 8:20
99,6/22/2018 8:22
117,6/22/2018 8:24
110,6/22/2018 8:26
70,6/22/2018 8:28
89,6/22/2018 8:30
127,6/22/2018 8:32
127,6/22/2018 8:34
116,6/22/2018 8:36
95,6/22/2018 8:38
59,6/22/2018 8:40
63,6/22/2018 8:42
110,6/22/2018 8:44
129,6/22/2018 8:46
143,6/22/2018 8:48
174,6/22/2018 8:50
66,6/22/2018 8:52
70,6/22/2018 8:54
111,6/22/2018 8:56
108,6/22/2018 8:58
38,6/22/2018 9:00
78,6/22/2018 9:02
89,6/22/2018 9:04
48,6/22/2018 9:06
126,6/22/2018 9:08
94,6/22/2018 9:10
84,6/22/2018 9:12
91,6/22/2018 9:14
76,6/22/2018 9:16
76,6/22/2018 9:18
88,6/22/2018 9:20
84,6/22/2018 9:22
79,6/22/2018 9:24
112,6/22/2018 9:26
67,6/22/2018 9:28
87,6/22/2018 9:30
78,6/22/2018 9:32
77,6/22/2018 9:34
55,6/22/2018 9:36
108,6/22/2018 9:38
83,6/22/2018 9:40
82,6/22/2018 9:42
133,6/22/2018 9:44
113,6/22/2018 9:46
71,6/22/2018 9:48
163,6/22/2018 9:50
241,6/22/2018 9:52
151,6/22/2018 9:54
135,6/22/2018 9:56
102,6/22/2018 9:58
84,6/22/2018 10:00
103,6/22/2018 10:02
123,6/22/2018 10:04
63,6/22/2018 10:06
97,6/22/2018 10:08
90,6/22/2018 10:10
89,6/22/2018 10:12
114,6/22/2018 10:14
83,6/22/2018 10:16
113,6/22/2018 10:18
95,6/22/2018 10:20
89,6/22/2018 10:22
71,6/22/2018 10:24
55,6/22/2018 10:26
85,6/22/2018 10:28
91,6/22/2018 10:30
110,6/22/2018 10:32
105,6/22/2018 10:34
99,6/22/2018 10:36
81,6/22/2018 10:38
108,6/22/2018 10:40
81,6/22/2018 10:42
61,6/22/2018 10:44
74,6/22/2018 10:46
89,6/22/2018 10:48
64,6/22/2018 10:50
84,6/22/2018 10:52
81,6/22/2018 10:54
78,6/22/2018 10:56
91,6/22/2018 10:58
94,6/22/2018 11:00
102,6/22/2018 11:02
66,6/22/2018 11:04
113,6/22/2018 11:06
96,6/22/2018 11:08
112,6/22/2018 11:10
85,6/22/2018 11:12
114,6/22/2018 11:14
98,6/22/2018 11:16
113,6/22/2018 11:18
115,6/22/2018 11:20
100,6/22/2018 11:22
112,6/22/2018 11:24
138,6/22/2018 11:26
109,6/22/2018 11:28
120,6/22/2018 11:30
124,6/22/2018 11:32
167,6/22/2018 11:34
167,6/22/2018 11:34
121,6/22/2018 11:36
102,6/22/2018 11:38
121,6/22/2018 11:40
86,6/22/2018 11:42
122,6/22/2018 11:44
121,6/22/2018 11:46
101,6/22/2018 11:48
111,6/22/2018 11:50
112,6/22/2018 11:52
97,6/22/2018 11:54
83,6/22/2018 11:56
123,6/22/2018 11:58
128,6/22/2018 12:00
71,6/22/2018 12:02
98,6/22/2018 12:04
93,6/22/2018 12:06
61,6/22/2018 12:08
213,6/22/2018 12:10
127,6/22/2018 12:12
104,6/22/2018 12:14
222,6/22/2018 12:16
170,6/22/2018 12:18
177,6/22/2018 12:20
144,6/22/2018 12:22
159,6/22/2018 12:24
213,6/22/2018 12:26
111,6/22/2018 12:28
92,6/22/2018 12:30
115,6/22/2018 12:32
173,6/22/2018 12:34
208,6/22/2018 12:36
94,6/22/2018 12:38
119,6/22/2018 12:40
95,6/22/2018 12:42
114,6/22/2018 12:44
215,6/22/2018 12:46
165,6/22/2018 12:48
156,6/22/2018 12:50
116,6/22/2018 12:52
175,6/22/2018 12:54
263,6/22/2018 12:56
255,6/22/2018 12:58
225,6/22/2018 13:00
157,6/22/2018 13:02
159,6/22/2018 13:04
189,6/22/2018 13:06
165,6/22/2018 13:08
135,6/22/2018 13:10
172,6/22/2018 13:12
130,6/22/2018 13:14
442,6/22/2018 13:16
166,6/22/2018 13:18
257,6/22/2018 13:20
110,6/22/2018 13:22
116,6/22/2018 13:24
124,6/22/2018 13:26
157,6/22/2018 13:28
278,6/22/2018 13:30
204,6/22/2018 13:32
162,6/22/2018 13:34
138,6/22/2018 13:36
190,6/22/2018 13:38
101,6/22/2018 13:40
139,6/22/2018 13:42
105,6/22/2018 13:44
110,6/22/2018 13:46
141,6/22/2018 13:48
145,6/22/2018 13:50
150,6/22/2018 13:52
200,6/22/2018 13:54
157,6/22/2018 13:56
139,6/22/2018 13:58
219,6/22/2018 14:00
206,6/22/2018 14:02
144,6/22/2018 14:04
211,6/22/2018 14:06
158,6/22/2018 14:08
146,6/22/2018 14:10
177,6/22/2018 14:12
108,6/22/2018 14:14
107,6/22/2018 14:16
118,6/22/2018 14:18
122,6/22/2018 14:20
142,6/22/2018 14:22
86,6/22/2018 14:24
123,6/22/2018 14:26
123,6/22/2018 14:28
136,6/22/2018 14:30
185,6/22/2018 14:32
156,6/22/2018 14:34
216,6/22/2018 14:36
224,6/22/2018 14:38
115,6/22/2018 14:40
78,6/22/2018 14:42
144,6/22/2018 14:44
142,6/22/2018 14:46
74,6/22/2018 14:48
138,6/22/2018 14:50
89,6/22/2018 14:52
130,6/22/2018 14:54
138,6/22/2018 14:56
92,6/22/2018 14:58
52,6/22/2018 15:00
97,6/22/2018 15:02
96,6/22/2018 15:04
229,6/22/2018 15:06
104,6/22/2018 15:08
86,6/22/2018 15:10
46,6/22/2018 15:12
53,6/22/2018 15:14
69,6/22/2018 15:16
93,6/22/2018 15:18
156,6/22/2018 15:20
154,6/22/2018 15:22
72,6/22/2018 15:24
113,6/22/2018 15:26
62,6/22/2018 15:28
108,6/22/2018 15:30
75,6/22/2018 15:32
104,6/22/2018 15:34
76,6/22/2018 15:36
56,6/22/2018 15:38
70,6/22/2018 15:40
76,6/22/2018 15:42
87,6/22/2018 15:44
105,6/22/2018 15:46
98,6/22/2018 15:48
115,6/22/2018 15:50
104,6/22/2018 15:52
154,6/22/2018 15:54
119,6/22/2018 15:56
89,6/22/2018 15:58
85,6/22/2018 16:00
69,6/22/2018 16:02
156,6/22/2018 16:04
111,6/22/2018 16:06
93,6/22/2018 16:08
70,6/22/2018 16:10
110,6/22/2018 16:12
152,6/22/2018 16:14
138,6/22/2018 16:16
124,6/22/2018 16:18
40,6/22/2018 16:20
67,6/22/2018 16:22
77,6/22/2018 16:24
130,6/22/2018 16:26
144,6/22/2018 16:28
108,6/22/2018 16:30
137,6/22/2018 16:32
111,6/22/2018 16:34
