RadiationLevel,DateTime
148,6/22/2018 0:01
148,6/22/2018 0:03
148,6/22/2018 0:05
148,6/22/2018 0:07
148,6/22/2018 0:09
236,6/22/2018 0:11
148,6/22/2018 0:13
148,6/22/2018 0:15
60,6/22/2018 0:17
148,6/22/2018 0:19
60,6/22/2018 0:21
60,6/22/2018 0:23
148,6/22/2018 0:25
148,6/22/2018 0:27
148,6/22/2018 0:29
148,6/22/2018 0:31
148,6/22/2018 0:33
60,6/22/2018 0:35
60,6/22/2018 0:37
236,6/22/2018 0:39
236,6/22/2018 0:41
148,6/22/2018 0:43
236,6/22/2018 0:45
148,6/22/2018 0:47
148,6/22/2018 0:49
60,6/22/2018 0:51
60,6/22/2018 0:53
148,6/22/2018 0:55
60,6/22/2018 0:57
60,6/22/2018 0:59
148,6/22/2018 1:01
148,6/22/2018 1:03
148,6/22/2018 1:05
148,6/22/2018 1:07
148,6/22/2018 1:09
60,6/22/2018 1:11
148,6/22/2018 1:13
60,6/22/2018 1:15
60,6/22/2018 1:17
60,6/22/2018 1:19
148,6/22/2018 1:21
148,6/22/2018 1:23
148,6/22/2018 1:25
60,6/22/2018 1:27
148,6/22/2018 1:29
148,6/22/2018 1:31
148,6/22/2018 1:33
148,6/22/2018 1:35
60,6/22/2018 1:37
148,6/22/2018 1:39
60,6/22/2018 1:41
60,6/22/2018 1:43
148,6/22/2018 1:45
148,6/22/2018 1:47
148,6/22/2018 1:49
60,6/22/2018 1:51
148,6/22/2018 1:53
148,6/22/2018 1:55
60,6/22/2018 1:57
148,6/22/2018 1:59
148,6/22/2018 2:01
148,6/22/2018 2:03
148,6/22/2018 2:05
148,6/22/2018 2:07
148,6/22/2018 2:09
148,6/22/2018 2:11
60,6/22/2018 2:13
148,6/22/2018 2:15
236,6/22/2018 2:17
236,6/22/2018 2:19
148,6/22/2018 2:21
60,6/22/2018 2:23
148,6/22/2018 2:25
148,6/22/2018 2:27
148,6/22/2018 2:29
148,6/22/2018 2:31
148,6/22/2018 2:33
148,6/22/2018 2:35
148,6/22/2018 2:37
148,6/22/2018 2:39
60,6/22/2018 2:41
148,6/22/2018 2:43
60,6/22/2018 2:45
148,6/22/2018 2:47
60,6/22/2018 2:49
148,6/22/2018 2:51
148,6/22/2018 2:53
148,6/22/2018 2:55
60,6/22/2018 2:57
148,6/22/2018 2:59
148,6/22/2018 3:01
60,6/22/2018 3:03
148,6/22/2018 3:05
60,6/22/2018 3:07
60,6/22/2018 3:09
60,6/22/2018 3:11
148,6/22/2018 3:13
60,6/22/2018 3:15
148,6/22/2018 3:17
148,6/22/2018 3:19
148,6/22/2018 3:21
148,6/22/2018 3:23
60,6/22/2018 3:25
148,6/22/2018 3:27
148,6/22/2018 3:29
60,6/22/2018 3:31
148,6/22/2018 3:33
60,6/22/2018 3:35
60,6/22/2018 3:37
148,6/22/2018 3:39
148,6/22/2018 3:41
60,6/22/2018 3:43
148,6/22/2018 3:45
148,6/22/2018 3:47
236,6/22/2018 3:49
148,6/22/2018 3:51
148,6/22/2018 3:53
60,6/22/2018 3:55
60,6/22/2018 3:57
148,6/22/2018 3:59
148,6/22/2018 4:01
148,6/22/2018 4:03
60,6/22/2018 4:05
148,6/22/2018 4:07
60,6/22/2018 4:09
148,6/22/2018 4:11
60,6/22/2018 4:13
236,6/22/2018 4:15
60,6/22/2018 4:17
148,6/22/2018 4:19
148,6/22/2018 4:21
148,6/22/2018 4:23
148,6/22/2018 4:25
60,6/22/2018 4:27
148,6/22/2018 4:29
148,6/22/2018 4:31
148,6/22/2018 4:33
60,6/22/2018 4:35
148,6/22/2018 4:37
148,6/22/2018 4:39
148,6/22/2018 4:41
148,6/22/2018 4:43
60,6/22/2018 4:45
148,6/22/2018 4:47
148,6/22/2018 4:49
148,6/22/2018 4:51
148,6/22/2018 4:53
148,6/22/2018 4:55
148,6/22/2018 4:57
60,6/22/2018 4:59
236,6/22/2018 5:01
148,6/22/2018 5:03
148,6/22/2018 5:05
60,6/22/2018 5:07
148,6/22/2018 5:09
60,6/22/2018 5:11
60,6/22/2018 5:13
60,6/22/2018 5:15
148,6/22/2018 5:17
148,6/22/2018 5:19
148,6/22/2018 5:21
236,6/22/2018 5:23
236,6/22/2018 5:25
236,6/22/2018 5:27
324,6/22/2018 5:29
236,6/22/2018 5:31
324,6/22/2018 5:33
324,6/22/2018 5:35
236,6/22/2018 5:37
236,6/22/2018 5:39
236,6/22/2018 5:41
148,6/22/2018 5:43
236,6/22/2018 5:45
148,6/22/2018 5:47
236,6/22/2018 5:49
148,6/22/2018 5:51
148,6/22/2018 5:53
148,6/22/2018 5:55
148,6/22/2018 5:57
148,6/22/2018 5:59
148,6/22/2018 6:01
236,6/22/2018 6:03
148,6/22/2018 6:05
148,6/22/2018 6:07
148,6/22/2018 6:09
60,6/22/2018 6:11
148,6/22/2018 6:13
148,6/22/2018 6:15
148,6/22/2018 6:17
148,6/22/2018 6:19
148,6/22/2018 6:21
148,6/22/2018 6:23
236,6/22/2018 6:25
236,6/22/2018 6:27
148,6/22/2018 6:29
148,6/22/2018 6:31
148,6/22/2018 6:33
148,6/22/2018 6:35
236,6/22/2018 6:37
148,6/22/2018 6:39
60,6/22/2018 6:41
148,6/22/2018 6:43
148,6/22/2018 6:45
148,6/22/2018 6:47
236,6/22/2018 6:49
148,6/22/2018 6:51
148,6/22/2018 6:53
148,6/22/2018 6:55
148,6/22/2018 6:57
148,6/22/2018 6:59
148,6/22/2018 7:01
60,6/22/2018 7:03
