RadiationLevel,DateTime
76,6/22/2018 0:00
71,6/22/2018 0:02
38,6/22/2018 0:04
81,6/22/2018 0:06
66,6/22/2018 0:08
53,6/22/2018 0:10
61,6/22/2018 0:12
39,6/22/2018 0:14
44,6/22/2018 0:16
61,6/22/2018 0:18
80,6/22/2018 0:20
64,6/22/2018 0:22
67,6/22/2018 0:24
111,6/22/2018 0:26
70,6/22/2018 0:28
63,6/22/2018 0:30
88,6/22/2018 0:32
45,6/22/2018 0:34
77,6/22/2018 0:36
67,6/22/2018 0:38
39,6/22/2018 0:40
63,6/22/2018 0:42
55,6/22/2018 0:44
64,6/22/2018 0:46
77,6/22/2018 0:48
24,6/22/2018 0:50
90,6/22/2018 0:52
51,6/22/2018 0:54
76,6/22/2018 0:56
102,6/22/2018 0:58
91,6/22/2018 1:00
68,6/22/2018 1:02
75,6/22/2018 1:04
73,6/22/2018 1:06
54,6/22/2018 1:08
41,6/22/2018 1:10
29,6/22/2018 1:12
49,6/22/2018 1:14
84,6/22/2018 1:16
77,6/22/2018 1:18
85,6/22/2018 1:20
53,6/22/2018 1:22
114,6/22/2018 1:24
108,6/22/2018 1:26
80,6/22/2018 1:28
46,6/22/2018 1:30
33,6/22/2018 1:32
57,6/22/2018 1:34
80,6/22/2018 1:36
58,6/22/2018 1:38
57,6/22/2018 1:40
67,6/22/2018 1:42
76,6/22/2018 1:44
59,6/22/2018 1:46
44,6/22/2018 1:48
36,6/22/2018 1:50
100,6/22/2018 1:52
68,6/22/2018 1:54
80,6/22/2018 1:56
105,6/22/2018 1:58
59,6/22/2018 2:00
62,6/22/2018 2:02
98,6/22/2018 2:04
66,6/22/2018 2:06
29,6/22/2018 2:08
87,6/22/2018 2:10
32,6/22/2018 2:12
67,6/22/2018 2:14
71,6/22/2018 2:16
79,6/22/2018 2:18
87,6/22/2018 2:20
71,6/22/2018 2:22
46,6/22/2018 2:24
54,6/22/2018 2:26
62,6/22/2018 2:28
65,6/22/2018 2:30
55,6/22/2018 2:32
39,6/22/2018 2:34
81,6/22/2018 2:36
53,6/22/2018 2:38
75,6/22/2018 2:40
48,6/22/2018 2:42
107,6/22/2018 2:44
102,6/22/2018 2:46
92,6/22/2018 2:48
96,6/22/2018 2:50
70,6/22/2018 2:52
71,6/22/2018 2:54
45,6/22/2018 2:56
78,6/22/2018 2:58
39,6/22/2018 3:00
73,6/22/2018 3:02
55,6/22/2018 3:04
68,6/22/2018 3:06
91,6/22/2018 3:08
65,6/22/2018 3:10
87,6/22/2018 3:12
22,6/22/2018 3:14
60,6/22/2018 3:16
55,6/22/2018 3:18
65,6/22/2018 3:20
79,6/22/2018 3:22
86,6/22/2018 3:24
48,6/22/2018 3:26
55,6/22/2018 3:28
44,6/22/2018 3:30
59,6/22/2018 3:32
62,6/22/2018 3:34
52,6/22/2018 3:36
65,6/22/2018 3:38
87,6/22/2018 3:40
31,6/22/2018 3:42
45,6/22/2018 3:44
67,6/22/2018 3:46
48,6/22/2018 3:48
58,6/22/2018 3:50
63,6/22/2018 3:52
44,6/22/2018 3:54
48,6/22/2018 3:56
70,6/22/2018 3:58
70,6/22/2018 4:00
91,6/22/2018 4:02
68,6/22/2018 4:04
81,6/22/2018 4:06
34,6/22/2018 4:08
60,6/22/2018 4:10
30,6/22/2018 4:12
73,6/22/2018 4:14
107,6/22/2018 4:16
59,6/22/2018 4:18
88,6/22/2018 4:20
94,6/22/2018 4:22
83,6/22/2018 4:24
45,6/22/2018 4:26
70,6/22/2018 4:28
68,6/22/2018 4:30
78,6/22/2018 4:32
63,6/22/2018 4:34
65,6/22/2018 4:36
98,6/22/2018 4:38
28,6/22/2018 4:40
65,6/22/2018 4:42
43,6/22/2018 4:44
68,6/22/2018 4:46
107,6/22/2018 4:48
76,6/22/2018 4:50
64,6/22/2018 4:52
73,6/22/2018 4:54
83,6/22/2018 4:56
69,6/22/2018 4:58
84,6/22/2018 5:00
77,6/22/2018 5:02
36,6/22/2018 5:04
64,6/22/2018 5:06
102,6/22/2018 5:08
63,6/22/2018 5:10
74,6/22/2018 5:12
50,6/22/2018 5:14
66,6/22/2018 5:16
59,6/22/2018 5:18
98,6/22/2018 5:20
77,6/22/2018 5:22
126,6/22/2018 5:24
90,6/22/2018 5:26
65,6/22/2018 5:28
118,6/22/2018 5:30
105,6/22/2018 5:32
81,6/22/2018 5:34
97,6/22/2018 5:36
70,6/22/2018 5:38
81,6/22/2018 5:40
81,6/22/2018 5:42
67,6/22/2018 5:44
90,6/22/2018 5:46
42,6/22/2018 5:48
56,6/22/2018 5:50
52,6/22/2018 5:52
80,6/22/2018 5:54
46,6/22/2018 5:56
29,6/22/2018 5:58
54,6/22/2018 6:00
77,6/22/2018 6:02
53,6/22/2018 6:04
54,6/22/2018 6:06
72,6/22/2018 6:08
66,6/22/2018 6:10
74,6/22/2018 6:12
50,6/22/2018 6:14
30,6/22/2018 6:16
63,6/22/2018 6:18
47,6/22/2018 6:20
44,6/22/2018 6:22
90,6/22/2018 6:24
68,6/22/2018 6:26
60,6/22/2018 6:28
71,6/22/2018 6:30
46,6/22/2018 6:32
49,6/22/2018 6:34
57,6/22/2018 6:36
71,6/22/2018 6:38
75,6/22/2018 6:40
62,6/22/2018 6:42
86,6/22/2018 6:44
73,6/22/2018 6:46
47,6/22/2018 6:48
81,6/22/2018 6:50
74,6/22/2018 6:52
57,6/22/2018 6:54
99,6/22/2018 6:56
73,6/22/2018 6:58
68,6/22/2018 7:00
46,6/22/2018 7:02
72,6/22/2018 7:04
45,6/22/2018 7:06
66,6/22/2018 7:08
104,6/22/2018 7:10
51,6/22/2018 7:12
67,6/22/2018 7:14
74,6/22/2018 7:16
68,6/22/2018 7:18
35,6/22/2018 7:20
57,6/22/2018 7:22
36,6/22/2018 7:24
48,6/22/2018 7:26
44,6/22/2018 7:28
70,6/22/2018 7:30
70,6/22/2018 7:32
58,6/22/2018 7:34
35,6/22/2018 7:36
70,6/22/2018 7:38
67,6/22/2018 7:40
68,6/22/2018 7:42
30,6/22/2018 7:44
68,6/22/2018 7:46
79,6/22/2018 7:48
57,6/22/2018 7:50
49,6/22/2018 7:52
76,6/22/2018 7:54
58,6/22/2018 7:56
77,6/22/2018 7:58
62,6/22/2018 8:00
86,6/22/2018 8:02
57,6/22/2018 8:04
72,6/22/2018 8:06
78,6/22/2018 8:08
43,6/22/2018 8:10
65,6/22/2018 8:12
67,6/22/2018 8:14
82,6/22/2018 8:16
104,6/22/2018 8:18
44,6/22/2018 8:20
63,6/22/2018 8:22
43,6/22/2018 8:24
47,6/22/2018 8:26
36,6/22/2018 8:28
91,6/22/2018 8:30
72,6/22/2018 8:32
73,6/22/2018 8:34
39,6/22/2018 8:36
50,6/22/2018 8:38
78,6/22/2018 8:40
39,6/22/2018 8:42
46,6/22/2018 8:44
58,6/22/2018 8:46
90,6/22/2018 8:48
87,6/22/2018 8:50
87,6/22/2018 8:52
77,6/22/2018 8:54
40,6/22/2018 8:56
59,6/22/2018 8:58
64,6/22/2018 9:00
34,6/22/2018 9:02
89,6/22/2018 9:04
38,6/22/2018 9:06
76,6/22/2018 9:08
99,6/22/2018 9:10
68,6/22/2018 9:12
95,6/22/2018 9:14
46,6/22/2018 9:16
81,6/22/2018 9:18
77,6/22/2018 9:20
30,6/22/2018 9:22
92,6/22/2018 9:24
45,6/22/2018 9:26
35,6/22/2018 9:28
43,6/22/2018 9:30
70,6/22/2018 9:32
119,6/22/2018 9:34
28,6/22/2018 9:36
52,6/22/2018 9:38
66,6/22/2018 9:40
53,6/22/2018 9:42
51,6/22/2018 9:44
83,6/22/2018 9:46
55,6/22/2018 9:48
61,6/22/2018 9:50
48,6/22/2018 9:52
