RadiationLevel,DateTime
102,6/22/2018 0:00
112,6/22/2018 0:02
102,6/22/2018 0:04
117,6/22/2018 0:06
125,6/22/2018 0:08
132,6/22/2018 0:10
116,6/22/2018 0:12
115,6/22/2018 0:14
94,6/22/2018 0:16
119,6/22/2018 0:18
123,6/22/2018 0:20
93,6/22/2018 0:22
145,6/22/2018 0:24
106,6/22/2018 0:26
132,6/22/2018 0:28
112,6/22/2018 0:30
104,6/22/2018 0:32
124,6/22/2018 0:34
112,6/22/2018 0:36
129,6/22/2018 0:38
92,6/22/2018 0:40
134,6/22/2018 0:42
113,6/22/2018 0:44
111,6/22/2018 0:46
100,6/22/2018 0:48
93,6/22/2018 0:50
100,6/22/2018 0:52
104,6/22/2018 0:54
113,6/22/2018 0:56
94,6/22/2018 0:58
96,6/22/2018 1:00
113,6/22/2018 1:02
109,6/22/2018 1:04
116,6/22/2018 1:06
116,6/22/2018 1:08
108,6/22/2018 1:10
100,6/22/2018 1:12
108,6/22/2018 1:14
113,6/22/2018 1:16
112,6/22/2018 1:18
108,6/22/2018 1:20
115,6/22/2018 1:22
115,6/22/2018 1:24
133,6/22/2018 1:26
78,6/22/2018 1:28
133,6/22/2018 1:30
94,6/22/2018 1:32
108,6/22/2018 1:34
110,6/22/2018 1:36
111,6/22/2018 1:38
120,6/22/2018 1:40
101,6/22/2018 1:42
111,6/22/2018 1:44
109,6/22/2018 1:46
107,6/22/2018 1:48
133,6/22/2018 1:50
93,6/22/2018 1:52
122,6/22/2018 1:54
118,6/22/2018 1:56
94,6/22/2018 1:58
86,6/22/2018 2:00
95,6/22/2018 2:02
103,6/22/2018 2:04
103,6/22/2018 2:06
118,6/22/2018 2:08
129,6/22/2018 2:10
104,6/22/2018 2:12
109,6/22/2018 2:14
107,6/22/2018 2:16
100,6/22/2018 2:18
111,6/22/2018 2:20
127,6/22/2018 2:22
122,6/22/2018 2:24
112,6/22/2018 2:26
126,6/22/2018 2:28
100,6/22/2018 2:30
118,6/22/2018 2:32
100,6/22/2018 2:34
112,6/22/2018 2:36
103,6/22/2018 2:38
116,6/22/2018 2:40
96,6/22/2018 2:42
130,6/22/2018 2:44
97,6/22/2018 2:46
97,6/22/2018 2:48
155,6/22/2018 2:50
151,6/22/2018 2:52
121,6/22/2018 2:54
100,6/22/2018 2:56
105,6/22/2018 2:58
139,6/22/2018 3:00
106,6/22/2018 3:02
99,6/22/2018 3:04
111,6/22/2018 3:06
124,6/22/2018 3:08
118,6/22/2018 3:10
121,6/22/2018 3:12
137,6/22/2018 3:14
107,6/22/2018 3:16
109,6/22/2018 3:18
106,6/22/2018 3:20
91,6/22/2018 3:22
117,6/22/2018 3:24
100,6/22/2018 3:26
87,6/22/2018 3:28
126,6/22/2018 3:30
111,6/22/2018 3:32
117,6/22/2018 3:34
107,6/22/2018 3:36
119,6/22/2018 3:38
117,6/22/2018 3:40
109,6/22/2018 3:42
127,6/22/2018 3:44
108,6/22/2018 3:46
107,6/22/2018 3:48
116,6/22/2018 3:50
98,6/22/2018 3:52
107,6/22/2018 3:54
85,6/22/2018 3:56
118,6/22/2018 3:58
109,6/22/2018 4:00
112,6/22/2018 4:02
113,6/22/2018 4:04
99,6/22/2018 4:06
108,6/22/2018 4:08
111,6/22/2018 4:10
102,6/22/2018 4:12
115,6/22/2018 4:14
92,6/22/2018 4:16
119,6/22/2018 4:18
125,6/22/2018 4:20
119,6/22/2018 4:22
126,6/22/2018 4:24
116,6/22/2018 4:26
118,6/22/2018 4:28
99,6/22/2018 4:30
107,6/22/2018 4:32
118,6/22/2018 4:34
136,6/22/2018 4:36
128,6/22/2018 4:38
122,6/22/2018 4:40
104,6/22/2018 4:42
122,6/22/2018 4:44
103,6/22/2018 4:46
137,6/22/2018 4:48
114,6/22/2018 4:50
90,6/22/2018 4:52
119,6/22/2018 4:54
102,6/22/2018 4:56
110,6/22/2018 4:58
112,6/22/2018 5:00
122,6/22/2018 5:02
106,6/22/2018 5:04
102,6/22/2018 5:06
91,6/22/2018 5:08
123,6/22/2018 5:10
139,6/22/2018 5:12
72,6/22/2018 5:14
128,6/22/2018 5:16
101,6/22/2018 5:18
116,6/22/2018 5:20
131,6/22/2018 5:22
111,6/22/2018 5:24
131,6/22/2018 5:26
115,6/22/2018 5:28
114,6/22/2018 5:30
108,6/22/2018 5:32
116,6/22/2018 5:34
111,6/22/2018 5:36
109,6/22/2018 5:38
94,6/22/2018 5:40
131,6/22/2018 5:42
108,6/22/2018 5:44
138,6/22/2018 5:46
95,6/22/2018 5:48
123,6/22/2018 5:50
103,6/22/2018 5:52
132,6/22/2018 5:54
121,6/22/2018 5:56
94,6/22/2018 5:58
122,6/22/2018 6:00
150,6/22/2018 6:02
94,6/22/2018 6:04
112,6/22/2018 6:06
122,6/22/2018 6:08
110,6/22/2018 6:10
126,6/22/2018 6:12
115,6/22/2018 6:14
117,6/22/2018 6:16
119,6/22/2018 6:18
124,6/22/2018 6:20
118,6/22/2018 6:22
91,6/22/2018 6:24
107,6/22/2018 6:26
87,6/22/2018 6:28
127,6/22/2018 6:30
162,6/22/2018 6:32
110,6/22/2018 6:34
111,6/22/2018 6:36
94,6/22/2018 6:38
96,6/22/2018 6:40
127,6/22/2018 6:42
136,6/22/2018 6:44
102,6/22/2018 6:46
92,6/22/2018 6:48
106,6/22/2018 6:50
89,6/22/2018 6:52
125,6/22/2018 6:54
97,6/22/2018 6:56
116,6/22/2018 6:58
102,6/22/2018 7:00
111,6/22/2018 7:02
101,6/22/2018 7:04
104,6/22/2018 7:06
99,6/22/2018 7:08
112,6/22/2018 7:10
118,6/22/2018 7:12
99,6/22/2018 7:14
118,6/22/2018 7:16
91,6/22/2018 7:18
78,6/22/2018 7:20
114,6/22/2018 7:22
93,6/22/2018 7:24
103,6/22/2018 7:26
101,6/22/2018 7:28
106,6/22/2018 7:30
119,6/22/2018 7:32
100,6/22/2018 7:34
93,6/22/2018 7:36
89,6/22/2018 7:38
94,6/22/2018 7:40
121,6/22/2018 7:42
96,6/22/2018 7:44
104,6/22/2018 7:46
98,6/22/2018 7:48
97,6/22/2018 7:50
106,6/22/2018 7:52
102,6/22/2018 7:54
128,6/22/2018 7:56
103,6/22/2018 7:58
124,6/22/2018 8:00
121,6/22/2018 8:02
124,6/22/2018 8:04
96,6/22/2018 8:06
115,6/22/2018 8:08
110,6/22/2018 8:10
142,6/22/2018 8:12
118,6/22/2018 8:14
115,6/22/2018 8:16
110,6/22/2018 8:18
111,6/22/2018 8:20
105,6/22/2018 8:22
129,6/22/2018 8:24
105,6/22/2018 8:26
125,6/22/2018 8:28
98,6/22/2018 8:30
119,6/22/2018 8:32
112,6/22/2018 8:34
104,6/22/2018 8:36
76,6/22/2018 8:38
96,6/22/2018 8:40
103,6/22/2018 8:42
84,6/22/2018 8:44
100,6/22/2018 8:46
110,6/22/2018 8:48
113,6/22/2018 8:50
108,6/22/2018 8:52
116,6/22/2018 8:54
96,6/22/2018 8:56
94,6/22/2018 8:58
118,6/22/2018 9:00
126,6/22/2018 9:02
91,6/22/2018 9:04
81,6/22/2018 9:06
121,6/22/2018 9:08
98,6/22/2018 9:10
117,6/22/2018 9:12
108,6/22/2018 9:14
151,6/22/2018 9:16
111,6/22/2018 9:18
92,6/22/2018 9:20
103,6/22/2018 9:22
94,6/22/2018 9:24
118,6/22/2018 9:26
99,6/22/2018 9:28
112,6/22/2018 9:30
92,6/22/2018 9:32
120,6/22/2018 9:34
84,6/22/2018 9:36
106,6/22/2018 9:38
97,6/22/2018 9:40
132,6/22/2018 9:42
