RadiationLevel,DateTime
86,6/22/2018 0:00
87,6/22/2018 0:02
85,6/22/2018 0:04
95,6/22/2018 0:06
75,6/22/2018 0:08
68,6/22/2018 0:10
91,6/22/2018 0:12
80,6/22/2018 0:14
97,6/22/2018 0:16
87,6/22/2018 0:18
76,6/22/2018 0:20
90,6/22/2018 0:22
77,6/22/2018 0:24
79,6/22/2018 0:26
87,6/22/2018 0:28
75,6/22/2018 0:30
79,6/22/2018 0:32
66,6/22/2018 0:34
66,6/22/2018 0:36
79,6/22/2018 0:38
77,6/22/2018 0:40
97,6/22/2018 0:42
98,6/22/2018 0:44
73,6/22/2018 0:46
68,6/22/2018 0:48
81,6/22/2018 0:50
105,6/22/2018 0:52
85,6/22/2018 0:54
96,6/22/2018 0:56
79,6/22/2018 0:58
72,6/22/2018 1:00
72,6/22/2018 1:02
78,6/22/2018 1:04
98,6/22/2018 1:06
63,6/22/2018 1:08
76,6/22/2018 1:10
73,6/22/2018 1:12
63,6/22/2018 1:14
75,6/22/2018 1:16
73,6/22/2018 1:18
86,6/22/2018 1:20
87,6/22/2018 1:22
76,6/22/2018 1:24
83,6/22/2018 1:26
81,6/22/2018 1:28
74,6/22/2018 1:30
79,6/22/2018 1:32
91,6/22/2018 1:34
84,6/22/2018 1:36
70,6/22/2018 1:38
82,6/22/2018 1:40
75,6/22/2018 1:42
76,6/22/2018 1:44
76,6/22/2018 1:46
75,6/22/2018 1:48
78,6/22/2018 1:50
80,6/22/2018 1:52
80,6/22/2018 1:54
54,6/22/2018 1:56
83,6/22/2018 1:58
65,6/22/2018 2:00
77,6/22/2018 2:02
74,6/22/2018 2:04
55,6/22/2018 2:06
75,6/22/2018 2:08
88,6/22/2018 2:10
101,6/22/2018 2:12
79,6/22/2018 2:14
88,6/22/2018 2:16
84,6/22/2018 2:18
92,6/22/2018 2:20
70,6/22/2018 2:22
77,6/22/2018 2:24
64,6/22/2018 2:26
61,6/22/2018 2:28
81,6/22/2018 2:30
91,6/22/2018 2:32
79,6/22/2018 2:34
77,6/22/2018 2:36
80,6/22/2018 2:38
88,6/22/2018 2:40
84,6/22/2018 2:42
84,6/22/2018 2:44
100,6/22/2018 2:46
68,6/22/2018 2:48
